digression	kb. penyimpangan.
disavow	kkt. mengingkari, memungkiri. he disavowed participation in the burglary ia mengingkari bahwa ia ikut dalam pencurian itu.
disavowal	kb. keingkaran, sangkalan.
disband	kkt. membubarkan. -kki. bubar. the team disbanded regu itu bubar.
disbelief	kb. ketidak percayaan, kesangsian. to receive the news with d. menerima kabar itu dengan perasaan tidak percaya.
disburse	kkt. mengeluarkan, membayar.
disbursement	kb. pengeluaran, pembayaran.d. of fund pembayaran dana-dana.
disc	= disk.
disc.	(discount) potongan.
discard	kb. 1 barang-barang yang dibuang 2 bridge : kartu-kartu yang dibuang. -kkt. membuang (clothes, cards ,etc). -kki. membuang (cards).
discern	kkt. melihat. to d. the difference between melihat perbedaan antara. -discerning ks. tajam, cerdas. d. mind pikiran yang tajam.
discernible	ks. yang dapat dilihat.
discernment	kb. ketajaman.
discharge	kb. 1 pemberhentian. 2 pemecatan, pemberhentian. 3 penembakan (of a rifle). 4 pelaksanaan. 5 pembongkaran (of cargo). 6 keluarnya. 7 pembebasan, pelepasan. 8 kotoran.
disciple	kb. murid. d.of christ murid kristus. tagore had many disciple tagore mempunyai banyak murid.
disciplinarian	kb. orang yg berpegang kpd disiplin.
disciplinary	ks. disipliner.
discipline	kb. disiplin.2 ketertiban.3 mata pelajaran.-kkt. menertibkan.
disclaim	kkt.1 menyangkal.2 melepaskan.
disclaimer	kb. sangkalan, penolakan.
disclose	kkt. menyingkap.2 memperlihatkan. the open window disclosed a beautiful view jendela yg terbuka itu memperlihatkan pemandangan yg indah.
disclosure	kb. penyingkapan.
discolor	kkt. mengotorkan, menghitamkan.
discoloration	kb1. pengotoran. 2 perubahan warna.3 perusakan warna.
discomfort	kb. kegelisahan, keadaan tak senang, ketidaksenangan.
disconcert	kkt. membingungkan, memalukan.-disconcerting ks. membingungkan.
disconnect	kkt.1 melepaskan, mencopot.2 memutuskan.
disconsolate	ks. putus asa, sedih.
discontent	kb. perasaan tdk senang, ketidakpuasan.
discontented	ks. tdk senang/puas.
discontinuance	kb. penghentian, pemberhentian, pemutusan.
discontinue	kkt. menghentikan, memutuskan
discontinuity	kb. (j.-ties) keadaan yg terputus, keadaan yg tak tersambung
discontinuous	ks. terputus
discord	kb. 1 perselisihan (paham), perbantahan, perpecatan. 2 mus.: bunyi sumbang.
discordance	kb. 1 kejanggalan bunyi. 2 perselisihan, perpecahan.
discordant	ks. 1 penuh pertentangan. the discussion struck a d. note dalam diskusi itu terdengar suara-suara yang bertentangan. 2 tidak harmonis, sumbang.
discotheque	kb. diskotik.
discount	kb. potongan , korting. at a d. dengan potongan harga. d. house/store toko yang memberi potongan. -kkt. mengabaikan, melalaikan. to d. much of what one says mengabaikan banyak hal yang dikatakannya.
discourage	kkt. mengecilkan hati. to d. him mengecilkan hatinya. -discouraging ks. mengecilkan hati.
discouragement	kb. kehilangan semangat, keputus asaan.
discourse	kb. pidato atau tulisan, percakapan, ceramah. scientific d. wacana ilmiah. -kki. bercakap-cakap. to d. on bercakap-cakap mengenai.
discourteous	ks. tidak sopan, kasar, kurang ajar.
discourtesy	kb. (j. -sies) kekasaran, ketidak sopanan, kekurangajaran.
discover	kkt. 1 menemukan (oxygen, america, a new singer). 2 mengetemukan. 3 mengetahui.
discovery	kb. (j. -ries) penemuan, pendapatan.
discredit	kb. 1 kehilangan kepercayaan. 2 noda, cemar. -kkt. 1 tidak mempercayai. 2 menghilangkan gengsi. 3 mendiskreditkan (the government).
discreet	ks. bijaksana, berhati-hati.
discrepancy	kb. (j. -cies) ketidaksesuaian, ketidakcocokan.
discrete	ks. 1 mempunyai ciri-ciri tersendiri. a book is a d. object buku adalah benda tersendiri. 2 yang berlainan. an apple and a stone are d. objects apel dan batu adalah benda yang berlainan.
discretion	kb. kebijaksanaan, keleluasaan. to leave s.t. to your d. menyerahkan sesuatu kepada kebijaksanaan saudara.
discretionary	ks. dengan kebebasan untuk menentukan atau memilih, terserah kepada kebijaksanaan seseorang.
discriminate	kkt. membedakan. -kki. 1 membedakan. 2 mengadakan diskriminasi. -discriminating ks. suka membeda-bedakan.
discrimination	kb. 1 diskriminasi. 2 perbedaan. d. of colors is not easy membedakan warna tidak gampang. 3 sifat memilih-milih. d. in choise of boy friends sifat memilih-milih dalam hal teman-teman lelakinya.
discriminatory	ks. yang mendiskriminasi. d. practices praktek-praktek diskriminasi.
discursive	ks. tidak bersambungan satu sama lain. his lectures are d. kuliah-kuliahnya tidak bersambungan satu sama lain.
discus	kb. cak(e)ram, diskus.
discuss	kkt. membicarakan, merundingkan. to d. problem with membicarakan masalah itu dengan.
discussant	kb. peserta dalam perundingan, diskusiwan, pembahas.
discussion	kb. pembicaraan, diskusi, perundingan. to open a d. memulai pembicaraan. to come up for d. dikemukakan untuk pembahasan.
disdain	kb. penghinaan, hina. to regard an offer with d. menganggap hina suatu tawaran. -kkt. meremehkan, tidak menghargai. to d. assistance meremehkan bantuan.
disdainful	kb. penuh kehinaan, bersifat (meng)hina. to take a d. attitude towards mengambil sikap menghina terhadap.
disease	kb. penyakit. d. carrier penyebar penyakit.
diseased	ks. yang sakit. the d. part bagian yang sakit.
disembark	kki. turun dari kapal, mendarat, naik darat.
disembarkation	kb. pendaratan, penurunan dari kapal.
disembowel	kkt. mengeluarkan isi perut.
disenchant	kkt. mengecewakan. he was dischanted after six months ia merasa kecewa setelah enam bulan.
disenchantment	kb. kekecewaan.
disengage	kkt. melepaskan. to d. o's hand from the rope melepaskan tangan dari tali.
disentangle	kkt. menguraikan/melepaskan/ membebaskan dari kekusutan.
disfavor	kb. to be in d. with tak disukai oleh. to look with d. on tidak setuju dengan, tidak disukai oleh.
disfigure	kkt. menodai, menjelekkan. to d. a beautiful view menjelekkan pemandangan yang indah.
disfigurement	kb. 1 penodaan, pencacatan. 2 pengrusakan. d. of the countryside by billboards pengrusakan pemandangan di daerah pedalaman oleh papan-papan iklan.
disfranchise	kkt. mencabut hak memilih (dari).
disfranchisement	kb. pencabutan hak memilih.
disgorge	kkt. 1 mencurahkan. 2 memuntahkan.
disgrace	kb. aib, malu, arang dimuka. to be a d. to mendapatkan/mendatangkan nama buruk bagi. -kkt. memalukan, menodai, mencemarkan.
disgraceful	ks. memalukan. d. conduct tingkah laku yang memalukan. -disgracefully kk. secara memalukan. to act d. berlaku secara memalukan.
disgruntled	ks. tidak puas. a d. employee pegawai yang tidak puas.
disguise	kb. 1 penyamaran. 2 samaran. -kkt. menyembunyikan. -disguised ks. yang tersembunyi. d. un-employment pengangguran tersembunyi.
disgust	kb. kejijikan, kemuakan. -kkt. 1 menjijikkan. 2 memuakkan. 3 benci akan. -disgusted ks. jijik. -disgusting ks. 1 cabul (book movie). 2 menjijikkan. -disgustingly kk. yang menjijikkan.
dish	kb. 1 hidangan, masakan. 2 piring. 3sl.: bagian. 4 makanan. 5 sl.: gadis yang cantik. -kkt. sl.: meremukkan.
dishcloth	kb. kain untuk pencuci piring.
dishearten	kkt. mengecilkan hati. -dishearting ks. mengecilkan hati, mematahkan harapan.
disheveled	ks. 1 terurai. d. hair rambut terurai. 2 tak rapi, kusut. d. clothing pakaian tidak rapi, pakaian kusut.
dishful	kb. sepiring penuh.
dishonest	ks. tidak jujur.
dishonesty	kb. (j. -ties) ketidak jujuran.
dishonor	kb. kecemaran, aib. to bring d. on o's family menyebabkan kecemaran pada keluarganya. -kkt. 1 memalukan. 2 menolak.
dishonorable	ks. tidak hormat. d. discharge pemecatan dengan tidak hormat.
dishpan	kb. panci untuk pencuci piring.
dishrag	kb. kain untuk pencuci piring.
dishwater	kb. air pencuci piring, air cucian.
disillusion	kb. kekecewaan. -kkt. mengecewakan. -disillusioning ks. mengecewakan. d. experience pengalaman yang (sangat) mengecewakan.
disillusionment	kb. kekecewaan.
disinclination	kb. keseganan, rasa benci.
disinclined	ks. segan, tidak sudi.
disinfect	kkt. mendesinfeksi/menghapus/membasmi hama atau kuman.
disinfectant	kb. obat pembasmi kuman, obat desinfeksi.
disinherit	kkt. mencabut hak waris. to d. a child mencabut hak waris seorang anak.
disinheritance	kb. pencabutan hak waris.
disintegrate	kkt. menghancurkan. -kki. hancur. the books disintegrated buku-buku itu hancur.
disintegration	kb. kehancuran.
disinter	kkt. (disinterred) menggali dari kuburan.
disinterested	ks. ks. yang tidak berkepentingan, yang tidak memihak. d. observer peninjau yang tidak berkepentingan.
disinterment	kb. penggalian kuburan.
disjointed	ks. 1 terpotong-potong. d. fowl unggas yang terpotong-potong anggota badannya. 2 terputus-putus. d. account of a trip keterangan yang terputus-putus tentang perjalanan.
disk	kb. 1 cakra(m). 2 mus.: piringan (hitam). d. jockey penyiar radio yang menghidangkan lagu-lagu rekaman saja. 3 piringan sendi. slipped d. piringan sendi yang tergelincir.
dislike	kb. benci, perasaan tidak suka. to have a d. for merasa tidak suka terhadap. -kkt. tak suka, membenci. i d. getting up early saya tak suka bangun pagi-pagi.
dislocate	kkt. melepaskan. i dislocated my shoulder tulang bahu saya tergelincir.
dislocation	kb. terlepas/tergelincir dari sambungan. shoulder d. sambungan bahu saya terlepas.
dislodge	kkt. mengeluarkan, mencabut. to d. a fishbone from the throat mengeluarkan tulang ikan dari tenggorokan.
disloyal	ks. tidak setia/patuh.
disloyalty	kb. (j. -ties) ketidaksetiaan, ketidakpatuhan.
dismal	ks. 1 muram, sedih. d. future hari depan yang malang. 2 malang, tidak mujur. a d. day hari yang suram.
dismantle	kkt. membongkar.
dismay	kb. kekagetan, kecemasan. to my d. saya cemas. - kkt. mencemaskan hati.
dismember	kkt. 1 memotong-motong. the body was dismembered badan itu terpotong-potong. 2 memecah dalam bagian-bagian. the country was dismembered negeri itu dipecah dalam bagian-bagian.
dismemberment	kb. pemotongan, pembagian dalam bagian-bagian.
dismiss	kkt. 1 membebaskan, memecatkan. 2 meliburkan. 3 menolak. 4 menghilangkan. 5 membubarkan.
dismissal	kb. 1 pembubaran. 2 pemecatan. 3 pembebasan. 4 penolakan.
dismount	kki. turun. to d. from a horse turun dari kuda.
disobedience	kb. hal tidak mematuhi, ketidaktundukan, pengabaian perintah.
disobedient	ks. tidak tunduk (to kepada).
disobey	kkt., kki. tidak mematuhi perintah, mengingkari peraturan.
disorder	kb. 1 kekacauan. 2 keadaan tidak teratur, keadaan berantakan. 3 penyakit.
disorderly	ks. kacau, yang melanggar peraturan. d. conduct perbuatan melanggar peraturan.
disorganization	kb. kakacauan. social d. kekacauan kemasyarakatan.
disorganize	kkt. mengacaukan, menyebabkan berantakan. -disorganized ks. berantakan, tidak teratur, kacau, bingung.
disoverer	kb. penemu.
disown	kkt. tidak mengakui, memungkiri. to d.o 's son memungkiri anaknya.
disparage	kkt. meremehkan, menghina, mengecilkan, memperolok-olokkan. -disparaging ks. yang meremehkan. -disparagingly kk. secara yang meremehkan. to speak d. berbicara dengan pandangan rendah/hina.
disparagement	kb. penghinaan, peremehan.
disparate	ks. berbeda, tidak sama, berlainan. their ages are quite d. usia mereka sangat berbeda.
disparity	kb. ((j. -ties) disparitas, perbedaan.
dispassionate	ks. tidak memihak, tenang. to take a d. view of mengambil sikap yang tidak memihak mengenai.
dispatch	kb. pengiriman. 2 kabar, berita tertulis. -kkt. 1 mengirim, menyuruh, mengutus (troops, a messenger). 2 membunuh.
dispatcher	kb. orang yang memberangkatkan atau yang membolehkan trem atau mobil berangkat.
dispel	kkt. (dispelled) 1 menghalaukan. 2 menghilangkan.
dispensary	kb. (j. -ries) 1 apotik. 2 klinik, rumah obat.
dispensation	kb. 1 dispensasi. 2 takdir. d. of providence takdir allah.
dispense	kkt. 1 menyalurkan. 2 mengeluarkan. 3membagikan. 4 menyelenggarakan (justice). to d. with 1 membuang. 2 melepaskan.
dispenser	kb. 1 mesin penjual. cigarette d. mesin penjual rokok. 2 (person) pemberi, orang yang mengeluarkan.
dispersal	kb. 1 pengusiran. d. of a crowd pengusiran orang ramai. 2 pembubaran.
disperse	kkt. 1 membubarkan. to d. a demonstration membubarkan demonstrasi. 2 mengedarkan (leaflets). - kki. bubar. the mob dispersed when the arrived orang ramai itu bubar ketika polisi tiba.
dispersion	kb. 1 pembubaran. 2 penyebaran.
dispirited	ks. sedih, putus asa, kecil hati.
displace	kkt. 1 menggantikan. 2 memecat, memindahkan. -displaced ks. yang terlantar. d. person orang terlantar.
displacement	kb. 1 pemindahan. 2 beratnya.
display	kb. pameran, pertontonan, pertunjukan. book d. pameran buku. -kkt. 1 memperlihatkan, memamerkan. 2 memperlihatkan. 3 mempertunjukkan. 4 mengibarkan (the flag).
displease	kkt. tak menyenangkan bagi. his attitude displeases me sikapnya tak menyenangkan bagi saya.
displeasure	kb. perasaan tidak senang, perasaan tersinggung. to incur s.o.'sd. menimbulkan perasaan tidak senang pada seseorang.
disposable	ks. yang dapat dibuang. d. cup cangkir yang dapat dibuang sesudah dipakai. d. tissues kertas/serbet yang dapat dibuang.
disposal	kb. 1 pembuangan. 2 penyelesaian. 3 pemberian, pembagian.
dispose	kkt. mengatur. -kki. menentukan. to d. of 1 membuang. 2 memberikan.3 makan, 4 menjual, 5 menyelesaikan. 6 mengalahkan. -disposed ks. 1 ingin. 2 cenderung.
disposition	kb. 1 watak. 2 pembagian, penempatan. 3 penyusunan, pengaturan. 4 kecondongan.
dispossess	kkt. mencabut hak milik rumah/flat (karena tak bayar).
disproportion	kb. ketidakseimbangan.
disproportionate	ks. bersifat, tidak sepadan, tidak seimbang (to dengan).
disprove	kkt. menyangkal, menyanggah, membantah. to d. a statement menyangkal ucapan.
dispute	kb. perselisihan, percekcokan. -kkt. membantah. to d. with memperselisihkan, memperdebatkan.
disqualification	kb. diskwalifikasi, pembatalan.
disqualifies	lih disqualify.
