digression	kb. penyimpangan.
dull	ks. 1 tumpul, majal. 2 sepi. 3 pudar. 4 menjemukan, membosankan. 5 tidak mengkilap (of shoes). -kkt. 1 menumpulkan. 2 mengurangi, menghilangkan. -kki. menjadi tumpul. dull-witted ks. bodoh, tidak tajam.
duly	kk. sebagaimana, seharusnya, sepatutnya. he was d. installed as chairman dia dilantik sebagai ketua sebagaimana mestinya.
dumb	ks. bisu, kelu. animals are d. binatang itu bisu. 2 dungu, bodoh, bebal. a d. remark ucapan yang bodoh betul.
dumbbell	kb. 1 (exercise) halter. 2 sl.: orang bodoh.
dumbfound	kkt. menakjubkan, mengherankan. -dumbfounded ks. tercengang, ternganga. i was d. by his remark saya tercengang mendengar ucapannya itu.
dumbwaiter	kb. rak piring dan cangkir yang dapat naik-turun ke ruangan atas.
dumfound	= dumbfound.
dummy	kb. (j. -mies) 1 boneka untuk menggantungkan pakaian di etalase. 2 boneka yang dipakai oleh tukang jahit untuk mengenakan baju. 3 orang-orangan yang dipakai sebagai sasaran menembak. 4 contoh, model. 5 bridge : dumi. -ks. kosong.
dump	kb. 1 tempat sampah. 2 sl.: tempat yang kotor. -dumps k. kesedihan. -kkt. 1 membuang. 2 melimpahkan. 3 membanjiri, mengeluarkan. -dumping kb. dumping
dumpling	kb. kue bola. apple d. kue bola berisi buah apel.
dumpy	ks. gemuk dan pendek.
dun	kkt. (dunned) menagih, mengganggu dengan tagihan.
dunce	kb. 1 orang bodoh, anak yang dungu. 2 anak yang lembut dalam pelajaran.
dune	kb. bukit pasir (di pesisir).
dung	kb. tahi hewan,pupuk kandang, kotoran.
dungaree	kb. celana jengki.
dungeon	kb. kamar dibawah tanah tempat menahan orang.
dunk	kkt. mencelupkan (a person, doughnut).
duo	kb. pasangan.
duodecimal	ks. perduabelas.
duodenum	kb. usus dua belas jari.
dupe	kb. korban penipuan. -kkt. menipu, menggait.
duplex	ks. rangkap (dua), rakit. d. apartment flat dengan dua tingkat. d. house rumah kopel (untuk dua keluarga).
duplicate	kb. 1 salinan, duplikat. 2 salinan, turunan duplikat. -ks. rangkap. -kkt. 1 menyalin (a letter, document). 2 meniru. 3 mengerjakan hal yang sama. duplicating machine duplikator.
duplication	kb. 1 hal melipat-gandakan/memperbanyak. 2 salinan, turunan (of a letter, document).
duplicator	kb. duplikator, mesin stensil.
duplicity	kb. (j. -ties) sikap/perbuatan bermuka dua.
durability	kb. daya tahan.
durable	ks. dapat tahan lama.
duration	kb. lamanya. d. of an appointment masa jabatan, lamanya pengangkatan. for the d. of the war selama masa perang.
duress	duress
durian	kb. durian, duren.
during	kb. 1 selama. 2 pada waktu.
dusk	kb. petang, menjelang malam, waktu samar-samar.
dusky	ks. kehitam-hitaman, agak hitam.
dust	kb. 1 debu (on a table, etc.). 2 abu. -kkt. 1 membersihkan (furniture) 2. menyapu, mengelap. 3 menaburi. -kki. menyapu. to d. off 1 menyapu debu. 2 mengemukakan. d. bowl daerah dimana sering terjadi angin debu yang dahsyat.
dustcloth	kb. (kain) lap.
duster	kb. 1 kain lap, penghapus. 2 semacam baju luar yang dipakai di rumah.
dustpan	kb. pengki, pungki.
dustproof	ks. tahan debu, kedap abu.
dusty	ks. berdebu. d. road jalan yang berdebu.
dutch	kb. bahasa belanda. the d. orang-orang belanda. -ks. belanda. inf.: d. treat makanan atau hiburan yang dibayar sendiri-sendiri.
dutchman	kb. (j. -men) orang belanda.
dutiable	ks. kena bea-cukai. d. goods barang-barang yang harus dikenakan beacukai.
dutiful	ks. patuh, menurut. d. doughter anak perempuan yang patuh.
duty	kb. (j. -ties) 1 kewajiban. to do o's d. menunaikan kewajiban. 2 tugas. what are my duties ? apa tugas saya ? 3 bea. import d. bea import/ masuk.duty-bound ks. merasa wajib/berkewajiban. duty-free ks. tanpa/bebas bea.
duumvirate	kb. dwitunggal.
dwarf	kb. orang kerdil/katai. -kkt. menyebabkan menjadi kecil.
dwell	kki. (dwelt atau dwelled) 1 tinggal. 2 menghuni, mendiami. -dwelling kb. tempat tinggal/kediaman.
dweller	kb. penduduk, penghuni.
dwelt	lih dwell.
dwindle	kki. berkurang, menjadi kecil. the water supply dwindled persediaan air berkurang.
dyak	kb. 1 orang dayak. 2 bahasa dayak.
dye	kb. celup (an), bahan celup. -kkt. mencelup. to d. a dress green mencelup gaun menjadi hijau. -kki. dicelup. -dyed-in-wool ks. sejati tulen. -dyeing kb. (pen) celupan.
dyer	kb. tukang celup.
dying	lih die.
dyke	= dike.
dynamic	ks. dinamis, dinamik, bersemangat. d. personality kepribadian yang dinamis.
dynamics	kb. 1 ilmu dinamika. 2 tenaga gerak. the d. of a hurricane tenaga gerak topan.
dynamism	kb. dinamisme, tenaga yang dinamis.
dynamite	kb. 1 dinamit, bahan atau alat peledak. 2 inf.: hal yang menggemparkan. -kkt. mendinamit, meledakkan dengan dinamit. -dynamiting kb. dinamo, pesawat pembangkit listrik.
dynastic	ks. yang berhubungan dengan dinasti atau wangsa. d. rule pemerintahan wangsa/dinasti.
dynasty	kb. (j. -ties) dinasti, wangsa, keluarga/keturunan raja. literary d. keluarga sastera.
dysentery	kb. disentri, berak darah, sakit buset.
dysfunction	kb. gangguan/penyelewengan fungsi. kidney d. gangguan fungsi ginjal.
dyspepsia	kb. pencernaan yang terganggu
dyspeptic	ks. muram, suram.
dystrophy	kb. penyakit otot.
e, e	kb. 1 huruf kelima abjad inggris. 2 mus.: nada e.
e.g.	[exempli gratia] misalnya, umpamanya.
each	ks. (tiap-) tiap, setiap. -kg. masing-masing. e. one tiap orang, masing-masing. e. and everyone tiap orang. e. other 1 saling. 2 satu sama lain.
eager	ks. ingin sekali, hasrat. to be e. to go ingin sekali pergi. inf.: e beaver orang yang rajin sekali. -eagerly kk. dengan tak sabar, dengan keinginan yang amat besar.
eagerness	kb. hasrat, keinginan. e. to learn hasrat belajar.
eagle	kb. 1 burung rajawali/elang, garuda. 2 golf : jumlah pukulan kurang dua dari par. -eagles j. tanda pangkat kolonel tentara as. eagle-eyed ks. bermata/berpenglihatan tajam.
ear	kb. 1 telinga, kuping. inf.: to be all ears mendengarkan dengan penuh perhatian, diam menelinga. 2 menyelenggarakan sesuatu tanpa persiapan atau petunjuk yang cukup. e. specialist ahli penyakit telinga.
earache	kb. sakit telinga. i have on e. saya sakit telinga
eardrum	kb. gendang pendengar.
earful	kb. lebih dari cukup. 2 teguran, celaan. he got an e. ia mendapat celaan.
earl	kb. gelar kebangsawanan yang tinggi, pangeran.
early	ks. (earlier, earliest) 1 lekas. 2 muda. 3 pagi-pagi. -kk. pagi-pagi. e. on dari/sejak permulaan. early-warning radar radar pemberi peringatan pertama.
earmark	kb. ciri-ciri. the e. of a politician ciri-ciri seorang ahli polotik. -kkt. memperuntukkan. to e. funds for books memperuntukkan dana untuk buku-buku.
earmuff	kb. alat penutup telinga.
earn	kkt. 1 mendapat bayaran/gaji. to e. a living mendapat penghasilan. 2 memperoleh. -earnings kb., j. pendapatan, upah, penghasilan. earning power daya pendapatan.
earnest	kb. in e. bersungguh-sungguh. -ks. sungguh-sungguh, tekun. e. money uang panjar/muka. -kk. dengan sungguh-sungguh, dengan betul-betul.
earphone	kb. alat pendengar.
earplug	kb. penyumbat telinga.
earring	kb. anting-anting, subang.
earshot	kb. jarak pendengaran. out of e. diluar pendengaran. within e. dalam jarak pendengaran.
earsplitting	ks. yang memekakkan telinga.
earth	kb. 1 tanah. 2 dunia, bumi. 3 bumi. earth-circling ks. yang mengitari bumi. e. mover buldozer. earth-shaking ks. yang menggemparkan/menggegerkan.
earthbound	ks. terikat/terbatas pada bumi. man is no longer e. manusia tak lagi terikat pada bumi.
earthen	ks. terbuat dari tanah. e. bowl mangkuk dari tanah.
earthenware	kb. barang tembikar, barang (dari) tanah.
earthly	ks. keduniawian. e. goods benda keduniawian. that's of no e. use itu tak ada gunanya samasekali.
earthquake	kb. gempa bumi, lindu.
earthward(s)	kk. menuju kebumi.
earthworm	kb. cacing tanah.
earthy	ks. 1 yang berbau tanah. an e. odor bau tanah. 2 biasa, sederhana, bersahaja. an e. person seorang yang biasa/sederhana.
earwax	kb. tahi telinga/kuping.
ease	kb. kesenangan, ketentraman. -kkt. 1 mengurangi. 2 meredakan (the situation). 3 menurunkan/mendorong/mengerakkan pelan-pelan. 4 meringankan. -kki. 1 berkurang. 2 menyelinap. -easing kb. peringanan.
easel	kb. kuda-kuda.
easily	lih easy.
east	kb. timur. -ks. timur. e. wind angin timur. e. coast negara-negara bagian as di pantai timur. e. indian yang berhubungan dengan hindia timur.
easter	kb. paskah. e. sunday hari minggu. paskah. e. island pulau paskah.
