subtle	ks. 1 halus (tone). s. perfume minyak wangi yang lemah baunya. 2 tak kentara (poison). 3 hampir tidak kentara (smile). 4 licin, licik (endeavor). 5 tajam (observer). 6 cerdik. 7 halus (distinction).
subtlety	kb. (j. -ties) 1 seluk-beluk, kepelikan (of a language). 2 kehalusan (of expression).
subtotal	kb. jumlah yang kurang sedikit dari jumlah seluruhnya.
subtract	kkt. mengurangi.
subtraction	kb. hal mengurangi, pengurangan.
subtropical	ks. subtropis.
suburb	kb. bagian inggir kota, kota satelit, daerah pinggiran kota. to live in the suburbs hidup di bagian pinggir kota.
suburban	ks. di pinggir(an) kota.
suburbanite	kb. orang yang hidup di pinggiran kota.
suburbia	kb. (daerah) pinggiran kota.
subvention	kb. subsidi, tunjangan.
subversion	kb. subversi.
subversive	kb. orang subversip. -ks. subversip, bawah tanah. s. activities kegiatan-kegiatan subversip, gerakan bawah tanah.
subvert	kkt. menumbangkan (pemerintah).
subway	kb. kereta-api dibawah tanah.
succeed	kkt. 1 menggantikan (s.o. as). 2 mengganti. days secceed night hari mengganti malam. succeedingks. berturut-turut.
success	kb. 1 sukses., keberhasilan.s. in life sukses dalam hidup. 2 hasil baik (in school). s. story 1 cerita yang berakhir baik. 2 cerita mengenai sukses.
successful	ks. 1 berhasil. s. career karir yang berhasil. 2 berhasil baik (of a harvest). 3 berbahagia (of a marriage). -successfully kk. dengan berhasil/sukses.
succession	kb. 1 rangkaian. 2 penggantian. 3 turutan. in s. 1 berturut-turut. 2 beriring-iringan (of cars lined up).
successive	ks. berturut-turut. for three s. days selama tiga hari berturut-turut. -successively kk. berturut-turut.
successor	kb. pengganti. to appoint a s. mengangkat pengganti.
succinct	ks. ringkas. s. and to the point ringkas dan tepat. -succinctly kk. dengan ringkas.
succinctness	kb. kesingkatan, kependekan, kekompakan, kecekatan.
succor	kb. bantuan, pertolongan. -kkt. menolong, memberi pertolongan.
succotash	kb. campuran jagung dan kacang.
succulence	kb. sifat berair, penuh air.
succulent	ks. lezat, berair banyak.
succumb	kki. 1 mengalah. to s. to temptation mengalah pada godaan. 2 mati. to s. to a heart attack mati karena serangan jantung.
such	ks. 1 seperti itu, serupa itu. 2 sungguh, begitu, betul-betul, amat, sekali. 3 sedemikian, yang demikian. -kg. 1 demikian. 2 begitu.
suck	kb. isap, teguk (of a soft drink, at a bottle). -kkt. 1 mengisap, menghirup (thumb, lollipop, water). 2 menetek (the breast). 3 menelan. -kki. to s. at mengisap (a pipe).
sucker	kb. 1 (alat) pengisap. 2 (candy) inf.: kembang gula yang keras. 3 sejenis ikan. 4 sl.: orang yang tolol, orang yang mudah kena tipu.
suckle	kkt. menyusui, meneteki.
suckling	kb. yang masih menyusu, muda sekali. s. pig babi yang masih menyusu.
suction	kb. 1 (peng) isapan. s. pump pengisap. 2 sedotan. to adhere to s.t. by s. melekat kepada sesuatu dengan sedotan. s. cup mangkok sedotan/penyedot.
sudden	ks. mendadak, tiba-tiba. his s. death dengan tiba-tiba. -suddenly kk. (dengan) tiba-tiba.
suddenness	kb. ketiba-tibaan, kesekonyong-konyongan.
suds	kb., j. 1 buih, busa. 2 buih, sabun.
sudsy	ks. berbuih, berbusa (of water, beer).
sue	kkt. menggugat, menuntut. to s. for divorce menuntut/minta cerai. -kki. 1 menuntut, menggugat. 2 memohonkan. to s. for peace memohonkan perdamaian.
suede	kb. kulit lemah/lunak. s. jacket jaket kulit.
suet	kb. gemuk. lemak 89yang terdapat di sekitar panggul dan buah punggung sapi dan domba).
suffer	kkt. 1 menderita (damage, harm, defeat). he does not s. fools gladly ia tidak sabar menderita perlakuan yang tolol. 2 mendapat (injury, harm). -kki. menderita. to s. from menderita karena. -suffering kb. (pen)deritaan.
sufferance	kb. kesabaran menderita.
sufferer	kb. penderita.
suffice	kkt. mencukupi. a modest income suffices him gaji yang kecil sudah mencukupi baginya. -kki. mencukupi, cukup. s. it to say that.... cukup dikatakan bahwa.....
sufficiency	kb. (j. -cies) kecukupan. a s. of supplies tersedia perbekalan yang cukup.
sufficient	ks. cukup. this is s. to.... ini cukup untuk..... -sufficiently kk. dengan cukup, secukupnya.
suffix	kb. akhiran.
suffocate	kkt. mencekek, menyebabkan mati lemas. -kki. mati lemas.
suffocation	kb. mati lemas, kekurangan napas.
suffrage	kb. hak pilih.
suffuse	kkt. meliputi, menutupi.
sugar	kb. 1 gula. 2 inf.: sayang, manis, manisku. 3 sl.: uang. -kki. memberi gula kepada/menggulai (teh s.s.o. o's coffee/tea).
sugary	ks. 1 berisi/mengandung gula. 2 manis-manis mulut (tak dapat dipercaya).
suggest	kkt. 1 memberi kesan. 2 menasehatkan.. 3 menganjurkan. 4 mengusulkan.
suggestion	kb. 1 saran, usul. 2 kesan yang tipis. 3 anjuran. 4 bisikan.
suggestive	ks. yang bersifat usul yang tak senonoh (remarks). 2 bernada. a lone s. of anger suara yang bernada marah.
suicidal	ks. mengenai bunuh diri. such a trip would be s. perjalanan seperti itu akan sama dengan bunuh diri. s. tendencies kecenderungan untuk bunuh diri.
suicide	kb. 1 bunuh diri. to commit s. (melakukan) bunuh diri. 2 orang yang bunuh diri.
suit	kb. 1 setelan. 2 law : gugatan. 3 (courting) rayuan, lamaran, peminangan. 4 bridge : warna/rupa kartu main. -suiting kb. bahan setelan.
suitability	kb. pantas-tidaknya, kecocokan, keserasian.
suitable	ks. 1 pantas. s. marriage perkawinan yang pantas. 2 cocok. s. house rumah yang cocok. 3 sesuai. a s. date tanggal yang sesuai. -suitably kk. yang sesuai, yang cocok. to be s. attired mengenakan pakaian yang pantas.
suitcase	kb. kopor.
suitor	kb. pelamar, peminang.
sulfa	kb. sulfa, (campuran) belerang. s. drug obat sulfa.
sulfide	kb. sulfida.
sulfur	kb. belerang.
sulfuric	s. acid asam belerang.
sulk	kki. merajuk, mendongkol, merongseng.
sulky	kb. (j. -kies) kereta berkuda dan beroda (balap). -ks. rongseng, sebal hati. to be/become s. merajuk, mendongkol, merongseng.
sullen	ks. merengut, rengus, rongseng, cemberut.
sully	kkt. (sullied) menodai (s.o's reputation).
sulphur	lih sulfur.
sultan	kb. sultan.
sultanate	kb. kesultanan.
sultriness	kb. kepanas-lembaban (of the weather).
sultry	ks. 1 panas dan pengap, panas dan lembah, gerah (of weather). 2 gatal rela., penuh berahi (of a woman).
sum	kb. 1 jumlah. 2 hitungan. in s. singkatnya, ringkasnya. -kkt. (summed) to s. up 1 menjumlahkan (the total). 2 menyimpulkan, meringkaskan (the main points)
sumatran	kb. orang sumatra, yang berasal dari sumatra.
summarize	kkt. meringkaskan.
summary	kb. (j. -ries) ringkasan, ikhtisar, rekapitulasi. -ks. 1 ringkas. 2 sumir. -summarily` kk. dengan cepat.
summation	kb. penyajian terakhir (of a legal case).
summer	kb. musim panas. in s. dalam musim panas. warm s. day hari musim panas yang panas. -kki. bermusim panas.
summertime	kb. musim panas.
summit	kb. puncak. s. conference konperensi tingkat tinggi.
summon	kkt. 1memanggil (s.o). 2 memerintahkan, memanggil. 3 mengumpulkan.
summons	kb. 1 panggilan. 2 surat perintah/panggilan, saman.
sump	kb. tempat air/oli/minyak berkumpul, bah. s. pump pompa bah.
sumptuous	ks. mewah.
sumptuousness	kb. kemewahan.
sun	kb. matahari. to fly with the s. terbang searah dengan jalannya matahari. -kkt. (sunned) to s. o.s berjemur diri. sun-baked ks. terjemur, kering karena sinar matahari. sun-drenched ks. disinari penuh dengan oleh matahari.
sun.	[sunday] hari minggu/ahad.
sunbathe	kki. berjemur diri, berpanas-panas.
sunbather	kb. orang yang mandi sinar matahari.
sunbeam	kb. sinar matahari.
sunburn	kb., kki. terbakar sinar matahari. i s. easily kulit saya mudah terbakar matahari. -sunburned, sunburnt ks. yang kena bakar sinar matahari.
sund.	[sunday] hari minggu/ahad.
sundae	kb. eskrim berisi setrup. chocolate s. eskrim ditutup coklat.
sundanese	kb. 1 orang sunda. 2 bahasa sunda. -ks. sunda.
sunday	kb. hari minggu/ahad.
sundeck	kb. nau.: geladak paling atas. 2 (geladak) tempat berjemur.
sunder	kkt. memisahkan.
sundial	kb. alat penunjuk waktu dengan bantuan bayangan sinar matahari.
sundown	kb. terbenamnya matahari.
sundry	kb. (j. -ries) serba-serbi. -ks. berbagai, bermacam. all and s. semuanya, semua orang.
sunflower	kb. bunga matahari.
sung	lih sing.
sunglasses	kb., j. kacamata hitam.
sunk	lih sink.
sunken	ks. 1 karam, tenggelam (of a ship). 2 tenggelam (of a rock, log). 3 cekung (of eyes). 4 terendam (of a garden).
sunlit	ks. yang disinari matahari (of a room).
sunniness	kb. keadaan terang, penuh sinar matahari.
sunny	ks. 1 cerah (of a day). 2 gembira, riang (disposition). 3 yang mendapat banyak cahaya matahari (of a room). sunny-side up ks. telor mata-sapi.
sunrise	kb. matahari terbit.
sunset	kb. matahari terbenam.
sunshade	kb. kere penghalang sinar matahari.
sunshine	kb. 1 sinar/cahaya matahari. in the bright s. dalam sinar matahari yang terang-benderang. 2 tempat yang kena panas matahari. 3 kegembiraan.
sunshiny	ks. cerah (day).
sunspot	kb. bintik pada matahari.
sunstroke	kb. kelengar (kena) matahari.
sunsuit	kb. pakaian bermain.
suntan	kb. warna coklat karena berjemur. s. lotion minyak gosok untuk berjemur diri.
sunup	kb. matahari terbit.
sup	kb. teguk. a s. of milk seteguk susu. -kki. (supped) makan malam.
sup.	1 [supreme] tetinggi. 2 [superior] unggul, atasan.
super	ks. inf.: hebat, luarbiasa baiknya. super-duper ks. sl.: 1 enak sekali. 2 hebat.
superabundance	kb. keadaan berlimpah-limpah.
superabundant	ks. berlimpah-limpah, sangat berlebih-lebihan.
superannuated	ks. purnawirawan, pensiun, wredatama.
superannuation	kb. pensiun. s. fund dana pensiun.
superb	ks. hebat. -superbly kk. bagus, gagah, agung.
supercharged	ks. diperlengkapi dengan alat penambah tenaga.
supercharger	kb. pompa konpresor.
supercilious	ks. congkak, sombong.
superciliousness	kb. keangkuhan.
superficial	ks. 1 dangkal, cerek, tohor (burn, knowledge). 2 luaran, tidak benar-benar. s. measurement ukuran pada permukaan, ukuran luaran.
superficiality	kb. (j. -ties) kedangkalan.
superfluity	kb. (j. -ties) jumlah yang berlebih-lebihan. s. of knowledge pengetahuan yang berlebih-lebihan.
superfluous	ks. 1 berlebih-lebihan (space). 2 yang tak berguna (of arguments).
superhighway	kb. jalan raya untuk lalu-lintas cepat, jalan megah.
superhuman	ks. melebihi yang dimiliki manusia, luar biasa.
superimpose	kkt. melapiskan keatas. to s. thin paper over a map melapiskan kertas tipis keatas peta.
superintend	kkt. mengatasi, menjadi pengawas pada.
superintendent	kb. 1 pengawas, pemimpin. 2 inspektur. s. of police inspektur polisi.
superior	kb. rel.: (orang) atasan, pemimpin, kepala biara. -ks. 1 ulung, unggul, tinggi (person, quality, instrument). 2 sombong, tinggi hati (of attitude). 3 lebih besar. 4 mulia.
superiority	kb. (j. -ties) keunggulan, keulungan. s. in men material kelebihan orang dan alat. s. complex rasa unggul diri.
