nggak	(coll.) no, not.
ngglenggem	see glenggem 2.
nggreges	see greges.
nggrengseng	see grengseng.
ngiang	sound of whining or steady humming.
ngiau	meow.
ngibrit	(coll.) run out of a place.
ngibul	tell a lie.
ngicip	see icip.
ngijo	see ijo 1.
ngik-ngik	1 sound of squeaking or screeching (e.g. asthmatic wheezing, violin screeching, etc.). 2 suffer from asthma.
ngikik	see kikih.
ngiler	see iler.
ngilu	pain, smart.
ngincer	see incar.
ngiprit	(sunda) marry a beautiful woman who is in reality a supernatural snake that can make her husband rich.
ngirab	see kirab 2.
ngiung-ngiung	1 sound of a siren, etc. 2 motorcade.
ngl-	see also with kl-, l-.
nglomprot	be sloppy.
nglunjak	insolent, impertinent.
ngluyur	see keluyur.
ngo	(china) i.
ngobrol	see obrol.
ngoceh	talk nonsense.
ngocok	(coll.) 1 shake, mix, rub. 2 masturbate.
ngok	(jakarta, sl.) loud smacking kiss.
ngoko	(java) speech level of java used among intimates or when speaking to certain people of lower status.
ngolor	see kolor.
ngomel	see omel.
ngomong	see omong.
ngompol	wet the bed or o.'s pants.
ngompoli	make s.t. wet by urinating in it.
ngompyang	grumble angrily (continuously).
ngoni	(coll., menado, n. maluku) you (plural).
ngorok	snore.
ngos-ngosan	(coll.) gasp and pant.
ngot-ngotan	1 unpredictable. 2 furious.
ngotot	see otot 2.
ngowos	(coll.) 1 leak (of a tire). 2 talk nonsense.
ngoyo	(java) exert o.s.
ngrasani	(java) backbite, gossip about.
ngreh	(java) look down on.
ngrewes	(java) tidak-ngrewes indifferent.
ngublak-ngublek	(java) turn upside down to find s.t.
ngubleg-ngubleg	(java) pester s.o.
ngudang	(java) coo, talk babytalk.
nguing-nguing	sound of siren.
nguler	wormlike.
ngunduh	see unduh.
ngungu	sound of repeated sobbing, choking etc.
ngupil	1 pick o.'s nose. 2 form scab on a wound.
ngurek	1 (java) gnaw. 2 (coll.) be inguisitive.
ngut-ngut	(lit.) nervous movement of mouth, twitch.
ngutngit	gnawing.
ni	(bali) respectful title for women. 2. (china) you. 3 see nih.
niaga	commerce, trade.
niagawan	trader.
nian	very, really.
niat	intention, plan, aim. berniat intend.
nibung	k.o. palm, the nibong.
nica	/nika/ [netherlands indies civil administration] postwar adminitrative system imposed by the dutch in occupied territories.
nifas	1 childbirth, porturition. 2 (islam) the 40-day period after childbirth during which sexual intercourse is forbidden.
nigong	dental plaque, film adhering to teeth.
nih	1 particle pointing to s.t. nearby. 2 see ini.
nihil	nothing, nil.
nihilis	nihilist.
nihilisme	nihilism.
nihilistis	nihilistic.
nik	see noni.
nikah	1 marriage, wedding. 2 marry.
nikel	nickel (metal).
nikmat	1 comfort, luxury. 2 deeply enjoyable, pleasant. 3 (islam) grace.
nikotin	nicotine.
nil	nile.
nila	blue dye, indigo.
nilai	1 price, value. 2 school grades. 3 percentage, ptoportion. 4 moral value.
nilakandi	1 sapphire. 2 sapphire blue, azure.
nilam	1. k.o. shrub yielding fragrant oil, patchouli. 2. see batu. 3. see burung.
nilem	see nilam 1.
nilep	take s.t. on the sly.
nilon	nyilon.
nimbrung	(coll.) join on in conversation where o. is not wanted, butt into discussion.
ninabobo	/ninabobok/ lullaby.
ning	see neng.
ning-neng	/ning-nong/ sound of jiggling such as horse drawn carriage, etc.
ningrat	nobility, aristocracy.
ningratisme	feudal way of thingking and behaving.
nini	see nenek.
ninik	(china) term of address for liitle girl.
ninik-mamak	(m) village elders.
ninitowok	/ninitowong/ (java) 1 k.o. spirit possession involving figure made of coconut shell. 2 such a figure of coconut shell.
nip	[nomor induk pegawai] 1 official registry number of civil servants. 2 letter of appointment for civil servant
nipah	thatch palm, nipa palm.
nipis	1. see tipis 1. 2. see jeruk.
nipon	(coll.) japan.
nir	1. (coll.) kidney. 2. (lit.) not, non.
