glamorous	ks. sangat menarik dan mempesonakan.
hearse	kb. kereta jenazah, mobil jenazah/mayat.
heart	kb. 1 jantung. 2 hati. 3 bagian tengah (of lettuce, celery). 4. bridge : hart. 5 inti, pokok. 6 kehendak. heart-shaped ks. berbentuk jantung. heart-stirring ks. yang membangkitkan semangat (speech, song). heart-to-heart ks. dari hati ke hati.
heartace	kb. dukacita, kepiluan.
heartbeat	kb. denyut/debaran/detik jantung.
heartbreak	kb. kesedihan/remuk hati, kemasygulan.
heartbreaker	kb. mata keranjang, penghancur hati (orang).
heartbreaking	ks. mamilukan, menyayat hati.
heartbroken	ks. bersedih/berpilu hati, amat sedih, berhati pilu.
heartburn	kb. rasa panas dalam perut.
hearten	kkt. membesarkan hati.
heartfelt	ks. yang sepenuh hati. my h. thanks for terima kasihku yang sepenuh hati atar.
hearth	kb. perapian, tungku.
heartily	kk. lih hearty.
heartsick	ks. sedih, gundah-gulana, pilu hati.
heartstrings	kb., j. hati sanubari, perasaan hati. to tug at o's heartstrings sangat menggetarkan hati sanubari.
heartthrob	kb. s.: kekasih.
hearty	ks. 1 besar. 2 sungguh-sungguh, dengan sepenuh hati. -heartily kk. 1 dengan penuh nafsu makan. 2 sungguh-sungguh. to disagree h. sungguh-sungguh tidak setuju.
heat	kb. 1 panas, kepanasan. 2 bagian dari balapan. 3 tekanan. -kkt. memanaskan. -heated ks. hangat, bernafsu. -heating kb. pemanasan. -ks. pemanas
heater	kb. alat pemanas. electric h. alat pemanas (dengan tenaga) listrik. gas h. alat pemanas (dengan tenaga) gas.
heathen	kb. penyembah berhala, kafir, yang tidak ber-tuhan.
heatstroke	heatstroke
heave	kb. angkatan, dorongan. -kkt. (heaved) 1 membongkar, mengangkat (jangkar). 2 menghela. -kki. 1 bergelombang (of a sea). 2 menyembul, timbul. 3 (hove) timbul, muncul.
heaven	kb. 1 sorga, surga. 2 (hindu) kayangan. -heavens j. langit, cakrawala. heaven-sent ks. mujur, mendapat karunia tuhan, kedatangan seorang yang menguntungkan.
heavenly	ks. 1 amat menyenangkan. 2 lezat, sedap.
heavily	lih heavy.
heavy	kb. film : peranan penjahat/bandit. -ks. (heavier, heaviest). 1 berat. 2 padat, ramai (of traffic). 3 tebal. 4 keras. 5 hebat. 6 kasar. -kk. secara berat. -heavily kk. secara berat.
heavyweight	kb. 1 box.: kelas berat. 2 kaliber berat. he's intelligent but not a h. dia pintar tapi bukan termasuk kaliber berat.
heb.	[hebrew(s)] 1 bible : orang yahudi. 2 yahudi.
hebrew	kb. 1 orang yahudi. 2 bahasa yahudi. -ks. yahudi. the h. language bahasa yahudi.
heck	kb. to give s.o. h. mengomeli seseorang. -kseru persetan, buset.
heckle	kkt. menggoda, mengganggu (dengan ucapan yang mengejek). -heckling kb. mencela, memfitnah, mengejek.
heckler	kb. tukang ejek yang berteriak.
hectare	kb. hektar.
hectic	ks. tidak tenang, ribut, ramai sekali.
hectogram	kb. hectogram.
hectograph	kb. hektograf. -kkt. memperbanyak. (sesuatu) dengan alat hektograf.
hedge	kb. 1 (garden) pagar tanam-tanaman 2 pembendung. -kkt. to h. in memagari, membatasi, mengungkung. -kki. mengelak- elakkan, menghindarkan. to hedge-hop kki. (hedge-hopped) melakukan penerbangan yang rendah diatas tanah.
hedgehog	kb. landak.
hedgerow	kb. pagar tanaman.
hedonism	kb. paham yang dianut orang-orang yang mencari kesenangan semata-mata.
heed	heed
heedless	ks. dengan tidak memperhatikan/mengindahkan/memperdulikan. h. of. the danger dengan tidak memperhatikan bahaya.
heehaw	kb. tertawa kasar. -kki. meringkik.
heel	kb. 1 tumit. 2 inf.: bangsat, bedebah. -kki. memiringkan. -heeled ks. bertumit.
hefty	ks. besar dan kuat, kokoh, kekar (of people). h. steel frame rangka baja yang kuat.
height	kb. 1 tinggi. 2 puncak.
heighten	kkt. mempertinggi (a doorway, interest). -kki. memuncak, menambah. the conflict heightened pertentangan itu memuncak.
heinous	ks. bengis, mengerikan, keji sekali, kejam. h. crime kejahatan yang keji sekali.
heir	kb. waris. she is h. to a lot of money dia akan mewarisi uang yang banyak. h. apparent putera mahkota.
heiress	kb. ahli waris perempuan.
heirloom	kb. pusaka.
helicopter	kb. helikopter.
heliport	kb. lapangan helikopter.
helium	kb. helium.
hell	kb. neraka. kseru. persetan.
hellbent	ks. sl.: bersikeras. he was h. on getting to new york dia bersikeras untuk pergi ke new york.
hellcat	kb. perempuan yang jahat.
hellenic	ks. yunani.
hellfire	kb. api neraka, hukuman di neraka.
hellhole	kb. tempat yang sangat tidak menyenangkan.
