glamorous	ks. sangat menarik dan mempesonakan.
golfer	kb. pemain golf.
golly	kseru. astaga !
golosh	= galosh.
gone	lih go.
goner	kb. inf.: yang mati/amblas. we're goners if we can't escape kita akan menjadi korban kalau tak dapat melarikan diri.
gong	gong ,gung.
goniometry	kb. goniometri. ilmu ukur sudut.
gonorrh(o)ea	kb. kencing nanah, gonorea.
goo	kb. bahan yang pekat dan melengket seperti perekat.
good	kb. kebaikan, kebajikan. -goods j. 1 harta benda, barang-barang. 2 sl.: kesanggupan, potensi. -ks. (better, best) 1 baik. 2 baik, budiman. 3 baik, susila. 4 enak, sedap. 5 utuh. 6 manis, dapat diminum. 7setia. 8 lumayan. 9 layak. 10 cakap, pintar.
goodly	ks. 1 yang lumayan. a g. crowd sejumlah orang yang lumayan. 2 berlimpah-limpah. a. g. harvest panen yang berlimpah-limpah.
goodness	kb. kebaikan, kebajikan. -kseru. waduh, masya allah.
goody	kb. (j. -ies) inf.: makanan yang lezat, kueh-kueh, gula-gula. a goody-goody seorang yang usahanya untuk berbuat baik berlebih-lebihan sehingga memualkan.
gooey	ks. sl.: liat dan melengket.
goof	kb. sl.: kesalahan. -kki. keliru. i goofed saya keliru. to g. off membuang-buang/menyia-nyiakan waktu.
goofy	ks. sl.: bodoh, dungu, tolol.
gook	kb. sl.: kotoran yang melengket.
goon	kb. sl.: 1 orang jahat. 2 orang yang bodoh sekali.
goose	kb. (j. geese) angsa. g. feathers bulu-bulu angsa. g. egg a) telor angsa. b) sl.: angka nol.
gooseberry	kb. (j. -ries) semacam buah frambus.
goosebump	kb. inf.: tegak bulu roma.
gopher	kb. semacam tikus tanah.
gordian	ks. to cut the g. knot mengambil keputusan dengan cepat untuk mengakhiri keraguan.
gore	kb. darah kental. -kkt. melukai dengan tanduk.
gorge	kb. jurang, ngarai kecil yang curam. -kkt. makan dengan rakus. to g. o.s. on beans mengisi perut sepenuh-penuhnya dengan buncis.
gorgeous	ks. indah, permai.
gorilla	kb. gorila.
gory	ks. yang penuh dengan lumuran darah, berdarah.
gosh	kseru. wah !
gosling	kb. anak angsa.
gospel	kb. ajaran. the g. of hard work ajaran bekerja keras. the g. kitab injil, pewarta rahayu. the g. truth kebenaran mutlak.
gossamer	kb. siratan benang yang halus, jaringan laba-laba, jaringan yang tipis lagi halus, kain tipis serta halus, sutera yang tipis.
gossip	kb. 1 guncing, kabar angin, buah mulut. the g. is that... kabar anginnya ialah bahwa... 2 (a person) penggunjing, tukang fitnah. -kki. menggunjing, memfitnah, bergunjing. g. column isi pojok.
got	lih get. got up in berpakaian dalam. i've g. to go saya harus pergi.
gotten	lih get.
gouge	gouge ,kkt. 1mencungkil ( s.o' s eyes ).2 inf:menipu,mengeksploitasi ( s.o.)
goulash	kb. gulai daging.
gourd	kb. labu (manis), kendur.
gourmet	kb. ahli pencicip makanan.
gout	kb. encok, sengal.
gov.	[governor] gubernur.
gov. gen.	[governor general] gubernur jenderal.
govern	kkt. 1 memerintah (a country). 2 menguasai (o's temper). 3 menentukan (a decision). 4 berpengaruh atas . -kki. memerintah. -governing ks. yang memerintah.
governable	ks. bisa dikuasai/diperintah. his temper is g. perangainya dapat dikuasai.
governess	kb. seorang wanita yang digaji untuk mengajar anak-anak di rumah.
government	kb. 1 pemerintah. 2 pemerintahan. 3 ilmu pemerintahan/politik.
governmental	ks. yang berhubungan dengan pemerintah. g. committee panitia pemerintah.
