tempter	kb. penggoda.
threescore	ks. enam puluh. t. and ten tujuh puluh.
threesome	kb. kelompok/regu tiga orang.
thresh	= thrash. threshing machine mesin pengirik.
thresher	kb. 1 penebah. 2 (machine) mesin penebah/pengirik/rontongan.
threshold	kb. 1 ambang pintu. to be on the t. of success berada di ambang pintu sukses. 2 permulaan, ambang (of pain). to cross the t. melintasi/meliwati ambang pintu.
threw	lih throw.
thrice	kk. tiga kali.
thrift	kb. hemat, penghematan, sifat berhemat.
thriftiness	kb. sifat berhemat.
thrifty	ks. (ber) hemat, cermat. a t. shopper seorang pembelanja yang hemat. -thriftily kk. dengan hemat. to live t. hidup dengan hemat.
thrill	kb. getaran hati/jiwa, sensasi. -kkt. menggetarkan hati, menggairahkan (s.o.). -kki. menggetarkan. -thrilling ks. yang menawankan hati.
thriller	kb. 1 (sports event) sesuatu yang menggetarkan hati. 2 sesuatu yang mengerikan. movie t. pilem yang mengerikan. 3 (story) roman atau cerita detektip.
thrive	kki. (throve atau thrived, thrived atau thriven) 1 tumbuh dengan subur (of plants and animals). 2 maju dengan pesat, berkembang dengan pesat (of business). -thriving ks. yang sedang berkembang. t. business usaha yang sedang berkembang dengan baik.
thriven	lih thrive.
throat	kb. 1 kerongkongan, tenggorokan. i have asore t. tenggorokanku sakit. 2 (batang) leher.
throatiness	kb. suara serak/parau.
throaty	ks. serak, parau.
throb	kb. 1 denyut (of pulse). 2 debar (of a heart). 3 denyutan. -kki. (throbbed) 1 berdebar (of aheart) . 2 berdenyut-denyut (of pulse). -throbbing kb. 1 denyut (of heart or pulse). 2 dentaman (of an engine).
throes	kb., j. kelabakan (of a slaughterea animal or fowl). death t. sakaratulmaut.
thrombosis	kb. trombosa, pembekuan darah (dalam buluh darah). lih coronary.
throne	kb. takhta, singgasana. to mount/take/ascend the t. naik takhta, menjadi raja.
throng	kb.bondong, gerombolan orang. -kkt. memenuhi, menjejali. -kki. to t. around berdesak-desakan, berkerumun mengelilingi (the president).
throttle	kb. katup penghambat/penutup, klep penutup (on boiler, locomotive). -kkt. 1 mencekek (s.o). 2 memberedel, memberangus (the press). 3 memperlambat (jalan) (a locomotive).
through	ks. 1 selesai, siap. 2 terus(an). -kk. 1 dari permulaan sampai habis. 2 terus. 3 menyambung. -kd. 1 melalui. 2 melewati, lewat. 3 karena. 4 terus. 5 diluar.
throughout	kk. seluruhnya. -kd. 1 diseluruh. 2 sepanjang. t. the year sepanjang tahun.
throughway	= thruway.
throve	lih thrive.
throw	kb. 1 lemparan. 2 kain penutup (for sofa). -kkt. 1 melemparkan (a ball, rock). 2 melemparkan, menjebloskan. 3 memberi. 4 menyorotkan. 5 inf.: mengadakan (a party). 6 melilitkan. 7 (of a horse) melepaskan (a shoe). 8 memusingkan kepala. 9 pembuat.
throwaway	kb. lembaran iklan (yang tak berarti). t. container wadah untuk dibuang.
throwback	kb. seseorang yang memiliki ciri-ciri dari leluhurnya.
thrower	kb. pelempar. discus t. pelempar cakram.
thrown	lih throw.
thru	= through.
thrum	kb. petikan. 0kki. (trummed) 1 memetik (on guitar or banjo). 2 mengetuk-ngetukkan (on a table). -thrumming kb. petikan.
thrush	kb. 1 sejenis murai. 2 med.: guam, seriawan.
thrust	kb. 1 daya tolak/dorong (of an engine). 2 tusukan, tikaman (of a sword). 3 arah, tujuan. 4 serangan. -kkt. (thrust) 1 memasukkan, mendorongkan (the hands in o's pockets). 2 mendorong (roots). 3 menusukkan 4 menimpakan. -kki. berdesakan.
thruway	kb. jaklan raya untuk lalulintas cepat.
thu.	[thursday] kamis, kemis.
thud	kb. gedebuk (of a fallen body). to make a t. bergedebuk, bergedebuk.
thug	kb. penjahat yang kejam.
thuindercloud	kb. awan petir.
thumb	kb. ibu jari. to be all thumbs canggung, kikuk. thumbs down tanda tak setuju. thumbs up tanda setuju. -kkt. membaca sepintas lalu (a book).
thumbnail	thumbnail
thumbprint	kb. cap jempol.
thumbtack	kb. paku jamur/payung.
thump	kb. gebukan, bunyi geebuk. -kkt. 1 memukul (a pillow). 2 mengetuk (a patien). -kki. berdebar.
thunder	kb. guntur, guruh, gemuruh. t. of applouse tepuk-tangan yang gemuruh. -kki. mengguruh. mengguntur. -thundering ks. 1 berderap. a t. herd sekawanan hewan yang berderap. 2 inf.: besar sekali. t. lie dusta besar.
thunderbolt	kb. halilintar, petir, geledek.
thunderous	ks. bergemuruh.
thunderstorm	kb. hujan angin ribut disertai petir dan guruh.
thunderstruck	ks. seperti disambar petir, teringa-inga, termangu-mangu.
thurs.	[thursday] kamis, kemis.
thursday	kb. kamis, kemis.
thus	kk. 1 demikian. do it t. kerjakanlah demikian. 2 jadi. she is ill ; t. she can't come ia sakit, jadi ia tak dapat datang. 3 hingga. t. for hingga kini.
thwack	kb. pukulan.
thwart	kkt. merintangi, menghalangi, menggagalkan. to t. s.o's plans merintangi rencana seseorang.
thy	kg. ( milik kepunyaan) kamu, engkau, -mu. t. book bukumu.
thyme	kb. semacam tumbuhan (untuk pengharum makanan).
thyroid	ks. yang berrkaitan dengan lekum. t. gland kelenjar gondok.
thyself	lih self.
tiara	kb. perhiasan kepala (menyerupai mahkita kecil), tiara.
tibetan	kb. 1 orang tibet. 2 bahasa tibet. --ks. yang berhubungan dengan tibet.
tibia	kb. tulang kering.
tic	kb. gerenyet. nervous t. gerenyet urat syaraf.
tic-tac-toe	kb. tebak-tebakan dengan angka.
tick	kb. 1 detik(an) (of a clock). 2 kutu (on dog). 3 (bed covering) sarung kasur. 4 tanda ("). -kkt. mendetikkan. -ticking kb. kain kasur.
tick-tack-toe	= tic-tac-toe.
tick-tock	kb. bunyi berdetak-detik.
ticker	ticker
