tempter	kb. penggoda.
treasure	kb. 1 harta benda. buried t. harta terpendam/karun. 2 sesuatu yang berharga. -kkt. menghargai (s.o.'s friendship). t. house tempat simpanan barang-barang yang berharga.
treasurer	kb. bendaharawan.
treasury	kb. (j. -ries) 1 perbendaharaan. 2 bunga rampai.
treat	kb. 1 sesuatu yang menyenangkan. 2 sungguhan. -kkt. 1 memperlakukan. 2 merawat (a cut). 3 menghilangkan. 4 mengobati. 5 mentraktir. 6 membeicarakan tentang. -kki. membayar, mentraktir.
treatise	kb. risalat.
treatment	kb. 1 perlakuan. 2 cara untuk mengobat, pengobatan (for a cold). 3 laporan, reportase. 4 cara memperlakukan (of the main character). 5 perawatan.
treaty	kb. (j. -ties) perjanjian, pakta.
treble	kb. suara soprano. -ks. tiga kali (l9pat). -kkt. melipat-tigakan.
tree	kb. pohon. a t. sebatang pohon. up a t. 1 dipuncak pohon. 2 inf.: dalam keadaan sulit, dalam kesulitan. -kkt. memburu, mengejar, naik keatas pohon (of an animal).
treelined	ks. berpinggiran pohon-pohon (street).
treetop	kb. puncak pohon.
trek	kb. perjalanan. -kki. (trekked) 1 melakukan perjalanan. 2 lekas berangkat. to t. down to the office (lekas) berangkat ke kantor.
trellis	kb. terali, jari-jari.
tremble	kb. getaran (in o's voice). -kki. 1 menggigil, gemetar (of a person). 2 bergetar. the house trembled from the wind rumah itu bergetar karena angin.
tremendous	ks. 1 hebat sekali, mahahebat, dahsyat. 2. besar. -tremendously kk. amat, sangat, dengan hebat/dahsyat. t. successful sangat sukses/berhasil sekali.
tremor	kb. 1 gemetaran, getaran (in the voice). 2 (earth) gempa bumi.
tremulous	ks. yang gemetar. t. voice suara yang gemetar.
trench	kb. 1 parit. 2 mil.: parit perlindungan t. coat jas hujan (tentara). t. mouth semacam penyakit mulut.
trenchant	ks. tajam (reply).
trend	kb. 1 kecenderungan. 2 jurusan, arah gejala, jalan. -kki. cenderung (towards kepada).
trepidation	kb. ragu-ragu bercampur takut. i accepted the post with some t. agak gentar aku menerima jabatan itu.
trespass	kb. 1 kesalahan, dosa. 2 pelanggaran, penyalahgunaan (on s.o.'s kindness). -kki. 1 masuk tanpa izin. 2 manyalah-gunakan.
trespasser	kb. pelanggar, penyalah-guna.
tress	kb. ikal (rambut) tresses j. rambut (wanita).
trestle	kb. 1 rr.: jembatan (dari batang-batang besi atau kayu). 2 carp.: kuda-kuda.
triad	kb. tritunggal, tiga serangkai.
trial	kb. 1 pemeriksaan pengadilan. 2 percobaan. 3 godaan. on t. sedang diadili. 2 sebagai percobaan. t. lawyer pengacara.
triangle	kb. 1 segitiga. 2 mus.: kerincing.
triangular	ks. bersegitiga. t. shape bentuk segitiga.
triangulation	kb. triangulasi.
tribal	ks. mengenai suku. t. customs adat-adat suku/kesukuan.
tribe	kb. suku(-bangsa), rumpun.
tribesman	kb. (j. -men) anggota suku.
tribulation	kb. kesengsaraan, godaan.
tribunal	kb. pengadilan.
tribune	kb. mimbar.
tributary	kb. (j. -ries) 1 geog.: anak sungai. 2 jajahan, pembayar upeti.
tribute	kb. 1 upeti. 2 penghormatan, penghargaan.
trice	kb. in a t. sekejap mata.
trichinosis	kb. penyakit yang disebabkan cacing pita babi.
trick	kb. 1 akal, muslihat. 2 permainan, tipu musliaht (of cards). 3 seluk-beluk, cara. 4 bridge : tarikan kartu. 5 giliran. 6 inf.: gadis. 7 maksud, hasil. -ks. lemah. -kki. memperdayakan, menipu.
trickery	kb. (j. -ries) penipuan, tipu daya.
trickle	kb. 1 sedikit, aliran kecil (of goods). 2 cucur. -kki. menetes (of tears, water).
trickster	kb. penipu.
tricky	ks. 1 licin, penuh akal (of a person or animal). 2 rumit (of a problem). thatt's a t. question itu sebuah pertanyaan yang mengandung muslihat.
tricolor	kb. triwarna (bendera perancis, belanda).
tried	lih try.
triennial	kb. tiap tiga tahun. -ks. tiga tahunan. t. report laporan tigatahunan.
tries	lih try.
trifle	kb. barang sepele, sesuatu yang tak berharga. -kkt. membuang-buang. -kki. menyia-nyiakan. -trifling ks. 1 (no-good) suka membuang-buang waktu. 2 (unimportant) ramah-tamah.
trig	kb. sl.: trigonometri, ilmu ukur segitiga.
trigger	kb. pelatuk, picu. to be quick on the t. 1 cepat menembak. 2 cepat bertindak. -kkt. mencetuskan, menggerakkan (a revolt, a successful compaign). trigger-happy ks. keburu/gatal menembak.
trigonometry	kb. (j. -ries) trigonometri, ilmu ukur segitiga.
trilateral	ks. segitiga, trilateral (of an agreement, geometric figure).
trilingual	ks. (menguasai) tiga bahasa.
trill	kb. bunyi (ber)getar (of a bird, of a sound). -kkt. menggetar (an "r"). -kki. 1 meragam/menyanyi/berlagu (of a bird). 2 bernyanyi dengan suara getar.
trillion	kb. trilyun.
trilogy	kb. (j. -gies) karangan tiga-serangkai, trilogi.
trim	kb.1 garis hiasan. 2 keseimbangan (of a ship). 3 keadaan, kondisi. 4 potong sedikit. -ks. langsing, ramping (of s.o's figure). -kkt. (trimmed) 1 memangkas (hair, shrubbery). 2 menghias(i) (a christmas tree). 3 memotong (o's nails) . 4 mengalahkan.
trimmer	kb. penghias. window t. penghias jendela (pajangan).
trimness	kb. kelangsingan, kerampingan (of figure).
trinity	kb. (j. -ties) trinitas, tritunggal. (holy) t. trimurti.
trinket	kb. perhiasan kecil.
trio	kb. trio, kelompok tiga orang. string t. trio pemain gesek. vocal t. trio penyanyi.
trip	kb. 1 perjalanan. 2 sl.: melawat ke alam mimpi/khayal (lsd). -kkt. (tripped) 1 menyebabkan tersandung. 2 menjegal/mengait kaki (s.o). 3 menjebloskan. -kki. 1 tersandung. 2 membuat kekeliruan.
tripartite	ks. tiga pihak. t. agreement persetujuan antara tiga pihak.
