reben	o.-way glass.
renyah	1. 1) concentration, careful attention. 2) requiring attention. 2. 1) melodious (of voice, etc.). 2 crispy (of food). 3. see ranyah.
renyai	springkle, drizzle.
renyak	crush, torture s.t. or s.o.
renyang	(m) 1 restless. 2 feel out of sorts.
renyeh	whimper.
renyek	(jakarta) crumpled, shrunk.
renyem	1 (sunda) itch. 2 desperate, not knowing what to do.
renyoh,renyok	see renyuk.
renyuk	(lit.) crumpled (up), crinkled.
renyut	see denyut.
reog,reok	1 cackle. 2 (java) k.o. masked dance. 3 (sunda) k.o. singing comedy group.
reol	see riol.
reorganisasi	reorganization.
reorganisir	reorganize.
reorientasi	reorientation.
reot	see reyot.
rep.	[republik] republic.
repak	crisp, fragile.
reparasi	repairs.
repas	dry and brittle, crumbly.
repatrian	repatriate.
repatriasi	repatriation.
repek	see repet.
repelita	[rencana pembangunan lima tahun] five-year development plan.
reperkusi	repercussion.
repertoar	/repertoir, repertorium/ repertory (of dance, drama, etc.).
repes	1 fidget. 2 waste time.
repet	1 chatter, blabber. 2 splatter (of an oar, etc.).
repetan	1. (math.) phase (of a decimal fraction). 2. 1) empty chatter, gossip. 2) splatter.
repetir	1 repeat (inoculations). 2 repeating (rifle).
repetisi	1 rehearsal. 2 quiz. 3 repetition.
repih	crumbly.
repis	see repih.
repliek	/replik/ (leg.) counterplea, rejoinder.
repolper	revolver.
repolusi	see revolusi.
repormir	see reformir.
reportase	1 way of reporting. 2 article.
repot	(coll.) report. /re`pot/ 1 busy, occupied. 2 troublesome, full of meticulous details.
reprep	(jakarta) torn.
representasi	delegation.
representatif	representative.
represi	repression.
represif	repressive.
reproduksi	reproduction.
reptil	reptile.
republik	republic.
republiken	republican.
repuh	see rapuh.
repuh-repuh	padlock.
reput	1 rotten, crumbling into decay. 2 loose, sandy. 3 (geol.) friable.
reputasi	reputation.
requisitoir	see rekuisitoir.
rerak	broken into pieces.
reramuan	all k.o. ingredients (in culinary or medicinal preparations.
rerangka	framework.
rerantingan	all manner of branches and twigs.
rerasan	(java) thinking and talking (about s.o.).
rerata	on the average.
rerep	subsided, calmed down.
reret	sound of squeaking.
reribu	thousands.
rerintih	moans, groans.
rerintik	drizzle, drops.
rerompok	see rorompok.
rerongkong	/rerongkongan/ 1 skeleton. 2 carcass, cadaver.
rerongsokan	wreckage.
rerot	see erot 2.
rerumput	/rerumputan/ grassy field.
reruntuh	/reruntuk/ wrekage, debris, ruins.
res.	1. [residen] resident. 2. [resimen] regiment.
resa	movements of baby about to be born.
resah	fidgety, restless.
resak	k.o. commercial timber tree.
resam	1. k.o. fern. 2. 1) organized, customary ways. 2) equal to.
resan	anxious, worried.
resap	1 penetrate, infiltrate. 2 ooze out, soak through and out. 3 become absorbed, dissipate.
resbang	bench, cot.
resek	cluttered. /re`se`k/ 1 look for s.t. by feeling with the hands. 2 investigate.
resen	recent.
resensi	book review
resensor	reviewer.
resep	1. (sunda) enjoyable. 2. see resap. /re`se`p/ 1 recipe. 2 prescription. 3 recommended program.
resepsi	reception.
resepsionis	receptionist.
reserse	/resersir/ detective.
reservat	land set aside for an ethnic group, reservation.
reserve	1. reserve supply. 2. reticence.
reservoir	/reservoar/ reservoir, reserves.
reses	recess of parliament.
resesi	(econ.) recession.
resi	1. 1) receipt (esp. for mailed or shipped items). 2) baggage check. 2. title for ascetics in wayang stories.
resia	see rahasia.
residen	resident, head of a residency (in colonial administration).
residivis	repeated offender, former convict.
residu	residue.
resik	(java) pure, clean.
resiko	see risiko.
resim	see rezim.
resimen	(mil.) regiment.
resiprokatif	reciprocal.
resiprositas	reciprocity.
resistensi	resistance.
resital	music recital.
resitasi	recitation.
reskrim	[reserse kriminil] criminal investigation bureau (of police).
resmi	1 official, legitimate. 2 formal.
resolusi	resolution.
resonansi	resonance.
resopim	[revolusi sosialisme pimpinan nasional] revolution, socialism, national leadership (sukarno-era slogan).
resort	1 police administrative unit at county level (the kabupaten level). 2 army administrative unit at level just below division.
resosialisasi	resocialization.
respek	respect, to respect.
respon	/respons/ response.
responden	respondent (esp. in surveys).
responsi	review session (at college).
responsibilitas	responsibility.
responsif	responsive, lively.
restan	1. remainder, remnant. 2. see pos.
restitusi	repayment of expenses incurred for medical care.
restoran	restaurant. restoran-kaki lima sidewalk food vending stalls.
restorasi	1. food service on a train. 2. restoration (of monument, etc.).
restriksi	restriction.
restrukturisasi	restructuring.
restu	blessing.
restung	k.o. boil on nose (us. caused by venereal disease).
resu	see resi 1.
resultan	/resultante/ resultant.
resume	summary.
ret	(bri.) diamonds.
reta	talk foolishly and endlessly.
retai	crack, fissure.
retak	1 crack, fissure. 2 cracked.
retakan	a crack.
retas	rip open, take apart.
reteh	see retih 1.
retensi	(ling.) retention.
retet	sound of rattling.
retetet-tetet	1 sound of bugle or trumpet. 2 sound of barrage of gunfire.
retih	1. crackling sound. 2. me-retih form beads (of sweat).
retir	see retur.
retna	see ratna.
retok	see recok.
retool	/ritul/ see ritul.
retorik,retorika	rhetoric.
retoris	rhetorical.
retorsi	retorsion.
retret	(rel.) retreat.
retribusi	1 toll or fee to use a public facility. 2 dues (for club).
retrospeksi	retrospection.
retrospektif	retrospective.
retul	see ritul.
retuling	see rituling.
retur	(coll.) round trip (of plane tickets).
reuni	reunion.
reunifikasi	reunification.
revaluasi	revaluation.
revans	revenge (esp. in sports, cards, etc.).
revisi	revision.
revisionis	revisionist.
revisionisme	revisionism.
revisir	revise.
revitalisasi	revitalization.
revolusi	revolution.
revolusioner	revolutionary.
revolusionerisme	an outlook based on revolutionary principles.
revolusionisasi	revolutionizing.
rewak	see rebak 2.
rewang	1. 1) swing. 2) (naut.) yaw. 2. (java) servant, assistant. 3. (m) grope about.
rewel	1 hard to please, fussy. 2 troublesome.
rewes	see ngrewes.
reyal	see rial.
reyog	k.o. e. java folk dance.
reyot	falling to pieces, decrepit (of houses, etc.).
rezeki	1 livelihood. 2 luck, fortune. 3 (islam) blessing (of god).prosperity.
rezim	regime.
rfj	[republik federal/federasi jerman] federal republic of germany.
rg.	[regu] team.
rheumatik	see rematik.
rhum	see rum 1.
ri	[republik indonesia] republic of indonesia.
ri-ri-ri	sound made to call ducks.
ria	1. cheerful. 2. 1) proud, jealously proud. 2) haughty.
riadat	(islam) practice of penance and mortification for spiritual enlightenment.
riah	1. see meriah. 2. see ria 2.
riak	1. 1) ripples. 2) indication, intention. 2. phlegm, mucus. 3. see ria 2.
rial	1 saudi arabian currency. 2 money.
riam	river rapids.
rian	measure of yarn or thread equivalent to o. skein or 1/16 of a tukal.
riang	1 cheerful, joyful. 2 dizzy.
riang-riang	cicada.
riap	protrude, swell out.
rias	make-up. meja-rias dressing table.
riasan	ornament, article of adornment.
riba	1. lap. 2. usury, excessive interest.
ribak	see rebak.
ribatat	family relationship.
ribon	(sport) rebound.
ribu	thousand.
ribuan	1 a currency note or coin with the value of 1,000. 2 in thousands, by the thousands.
ribut	1 storm, gale. 2 noisy, loud.
ricau	chatter, twitter.
rices	drinking straws.
ricih	1. see rincih. 2. /ricik/ make a rushing sound (such as water in terraced ditch).
ricis	(jakarta) slice, chop (ingredients for a dish).
ricuh	chaotic, quarrelsome.
rida	see rela.
ridah	/ridat, riddah, riddat/ see murtad.
ridha	/ridla, ridhlo, ridho/ see re
ridi	see redi.
riding	(lit.) noose trap.
ridip	(dorsal) fins.
ridla	/ridlo, ridhloh, rido/ see rela.
rifli	(sport) referee.
rigai	(m) skinny.
rigi	rigi-rigi cog, tooth.
rigu	see terigu.
rihal	see rehal.
rihat	see istirahat.
rihting	/rihting weser/ directional signals (on vehicles).
riil	/riyil/ real.
rijang	(geol.) flint, chert.
rik	sound of creaking.
rikoset	ricochet.
riksa	/riksya/ rickshaw.
rikuh	(java) feel awkward or ashamed in the presence of o.'s betters.
ril	see rel.
rila	/rilah/ see rela.
rileks	/rilek/ 1 relax. 2 carefree.
rilis	releas (of a tune, record).
rim	1. 1) ream, a measurement for paper. 2) a carton (of cigarettes). 2. (coll.) military style belt (for ammunition, etc.).
rima	rhyme.
rimas	1 anxious, worried. 2 discontented, irritated.
rimau	see harimau.
rimba	jungle, forest. rimba-belantara vast forest. rimba-sawang wilderness.
rimbas	small adz.
rimbit	see rembet 2.
rimbu	forest.
rimbun	thick, dense (of foliage, forest, etc.).
rimis	(m) half a cent.
rimpang	rhizome (ginger, tumeric, etc.).
rimpel	pleat, pleated.
rimpi	dried fruit slices.
rimpuh	tired, exhaused.
rimpung	bind the arms and legs.
rinai	1. (lit.) hum. 2. see renyai.
rinci	detail.
rincih	small parts, thin slices.
rincis	specify.
rincu	/rincuh/ see ricu(h).
rindang	1 leafy, luxuriant. 2 shady.
rinding	feel suddenly frightened, feel eerie.
rindu	1 longing, yearning. 2 feel homesick for, yearn for.
ring	1. (auto.) ring. 2. (sport) boxing ring. 3. sound of ringing.
ringan	1 light in weight. 2 minor in importance.
ringgik	see rengek.
ringgit	1. 1) two-and-a hall rupiah (note). 2) a gold coin (often used for pendants). 3) national currency of malaysia and brunei. 2. (lit.).
ringih	neigh, whinny.
ringik	see rengek.
ringis	grimace, grin.
ringkai	dry (of leaves), arid.
ringkas	brief, succinct, concise.
ringkasan	resume, precis, summary.
ringkih	frail.
ringkik	neigh, whinny.
ringking	yell.
ringkok	deep dish or shallow bowl to eat from.
ringkuk	1 bent over, stooped. 2 shut up, confined.
ringkus	1 catch by binding the limbs. 2 take into custody, catch.
ringsek	broken in pieces, totally damaged.
ringsekan	in bad shape, cheap.
ringsut	decline.
rintang	1. (lit.) entertain, distract. 2. 1) block (o.'s path). 2) interfere with, hamper.
rintangan	1 hindrance, obstacle, holdup. 2 barrier, restriction.
rintas	take a short-cut.
rintih	a moan, groan.
rintik	1 spot, fine spot. 2 droplet. rintik-rintik small spots, dots.
rintis	me-rintis 1 clear a way, path. 2 do pioneering work.
riol	sewer, drain.
riolering	sewers, drainage system.
ripot	see repot.
ripuh	1 misterable, sad. 2 in a mess.
ripuk	broken, damaged.
ris	[republik indonesia serikat] federal republic of indonesia (1949-1950).
risa	a callus.
risalah	/risalat/ 1 essay, composition, treatise. 2 circular, brochure. 3 minutes (of meeting), proceedings. 4 report (of assets).
risau	restless, nervous.
riset	research.
risih	feel uncomfortable about s.t. risque, taboo, etc.
risik	1. (lit.) confidential, inquiry. 2. 1) rustling (noise). 2) be noisy.
risiko	risk, peril.
riskan	/riskant/ risky.
riskir	risk s.t.
risoles	k.o. croquette, rissole.
ristek	[riset dan teknologi] research and technology.
risuh	embarrassed.
rit	1. trip made by a public vehicle. 2 sound of creaking. 3. see rices.
riting	see rihting.
ritme	rhythm.
ritmis	rhythmic.
rits,ritsleting	zipper.
ritual	ritual.
ritul	1 (coll.) reorganize. 2 purge (sukarno era).
rituling	1 (coll.) reorganization. 2 purge (sukarno era).
ritus	rite.
riuh	noisy, vociferaous.
riung	1. range of mountains. 2. conduct or gather for a ceremonial meal.
riut	1. sound of s.t. creaking.be bent or folded.
rival	(lit.) rival.
rivalitas	(lit.) rivalry, competition.
