percis	see persis.
petak	1. 1) compartment, partition, cabin. 2) garden bed, portion of a rice paddy. 2. white mark, blaze (on horse). 3. petak-umpat (jakarta) hide and seek.
petaka	accident, disaster, misfortune.
petakan	plot of land.
petakilan	(java) moving about too much, fidgety, improper becouse of fidgeting too much.
petal	1 press s.t downward. 2 loosen, remove by pressing.
petala	1 layer, stratum. 2 floor, story.
petam	band tied around forehead.
petan	main-petan play hide and seek.
petanaman	planting area.
petang	1 afternoon. 2 dark. /pe`tang/ divination.
petangan	prediction.
petani	farmer.
petari	see patri.
petaruh	1 final instructions, last will and testament. 2 security.
petas	see beras.
petasan	firecracker.
petatah-petitih	see petitih.
petatar	trainee.
petatas	see patatas.
pete	see petai.
petelur	egg layer.
petenah	see fitnah.
petenis	tennis player.
petentengan	/petenteng-petenteng/ with o.'s arms on the hips in an arrogant way.
peterah	see fitrah.
peterana	1 throne. 2 bridal chair.
peternak	breeder.
peternakan	animal husbandry.
peterseli	parsley.
petetirahan	vacation resort for health.
peti	case, chest.
petik	pick, pluck.
petikan	1 playing, plucking (of guitar). 2 quotation, excerpt.
petilan	episode, fragment of performance, interview, etc.
petilasan	remains of the past.
petinggi	s.o. wih formal authority or acknowledged influence within a certain region.
petinju	boxer.
petir	thunderclap, thunderbolt.
petirahan	health resort.
petiraman	oyster field or bed.
petis	condiment of the fermented fish or shrimp.
petisi	petition.
petitih	proverb, saying.
petopan	1 gambling den. 2 gambling place.
petor	district commissioner.
petrokimia	petrochemical.
petromax	/petromak/ kerosene pressure lantern.
petruk	(java) 1 o. of the clowns in the wayang stories. 2 funny-looking man.
petrus	[penembak misterius] (coll.) mysterious gunman.
petsai	(china) see pecai.
petuah	1 religious advice. 2 advice in general.
petualang	1 wanderer, tramp. 2 advenrurer who is trying to make a better life for himself.
petualangan	1 wandering about. 2 adventure, escapade.
petugas	1 functionary, official. 2 employee.
petungan	reckoning, calculation.
petunjuk	1 instruction, guidline. 2 advice, guidance. 3 indication, clue, hint. 4 direction.
petunjukan	appointment (to job, etc.).
peuyeum	/peyem/ (sunda) fermented cassava.
pewadahan	provision of a place or container.
pewajib	s.o. who is liable.
pewangi	s.t. to impart fragrance.
pewaris	heir.
pewarisan	1 inheriting. 2 inheritance.
pewarna	dye.
pewarta	1 correspondent, reporter. 2 news bulletin.
pewartaan	reporting.
pewatas	(ling.) modifier, qualifier.
pewawancara	interviewer.
pewawancaraan	interviewing.
pewayangan	things pertaining to the wayang.
peyek	see rempeyek.
peyok	/peyot/ see peok, peot 1.
peziarah	/penziarah/ visitor to a sacred place or grave.
pezina	adulterer, fornicator.
pf.	[pour feliciter] abbreviation written on card of congratulations.
pgc	[pasukan gerakcepat] (mil.) shock troops.
pgp,pgpn	[peraturan gaji pegawai (negeri) ] 1 regulations regarding civil service grade. 2 officially appointed to a certain grade.
pgri	[persatuan guru republik indonesia] indonesian teacher's union.
ph	[piringan hitam] phonograph record.
ph.	[per hektar] per hectare.
pharmakologik	see farmakologi.
pharmasi	see farmasi.
phh.	1. [perhubungan] communications. 2. [penghubung] liaison (officer).
philatelis	see filatelis.
