gae, gaek	(coll.) old.
gelotak	meng-gelotak split a coconut shell.
gelotrak	rattle. meng-gelotrak rattle (of chains).
geluduk	deep, far-off thunder. ber-geluduk thunder, rumble.
geluga	red lead.
gelugur	k.o. forest tree with yellow edible fruits similar to mangosteen but sour.
gelugut	meng-gelugut shiver from cold, chatter (of teeth).
geluh	loam.
geluk	coconut shell.
gelulur	meng-gelulur 1 slide down, fall. 2 slip down (of trousers).
gelumang	muddied, wet with s.t. dirty.
gelumbang	see gelombang.
geluncur	see gelincir.
gelundung	1. ber-gelundung-an roll downward (of several things). 2. see gelondong.
gelung	1 coil (of rope, etc.), bun of hair. 2 curve, turn.
gelungsur	see gelosor.
geluntung	(ber)geluntung-an laze around in bed.
geluntur	meng-geluntur glide, slide, ride smoothly along.
gelup	fall out, drop out (of teeth).
gelupur	see gelepur.
gelusak	meng-gelusak trouble, throw *thoughts, etc.)into turnmoil.
gelut	1 wrestle. 2 romp, play in rough-and-tumble fashion. 3 quarrel.
gelutuk	see geletuk.
geluyur	see keluyur.
gema	wcho, reverberate.
gemaca	plaited bamboo for walls and ceiling.
gemah-ripah	(java) very prosperous.
gemak	1. meng-gemak-gemak handle, finger. 2. k.o. wild quail.
gemal	bunch (of twigs, paddy), sheaf. meng-gemal 1 put together in sheaf or bunch. 2 hold, grasp.
gemala	magic stone, probably bezoar.
geman	afraid, frightened. peng-gemani coward.
gemang	1. thick, cylinder-shaped (long, etc.). 2. k.o. fish.
gemap	ter-gemap astounded, dumbfounded.
gemar	be fond of, delight in.
gemas	1 annoyed, put out, irritated. 2 passionate, with heat. 3 be moved emotionally to do s.t. physical from anger, love, etc.
gemawan	clouds moving rapidly by in sky.
gembala	1 shepherd, herdsman. 2 (rel.) shepherd (of the flock). meng-gembala-(i ) tend, look a fter.
gembang	pudgy.
gembar-gembor	ranting. meng-gembar-gembor-kan propagandize, tout, shout about.
gembel	see jembel.
gembereng	see gembreng.
gembili	see kembili.
gembira	1 glad, happy. 2 cheerful, gay.
gembleng	ber-, ter-gembleng united, welded into o. meng-gembleng unite. peng-gembleng-an unification.
gemblok	meng-gemblok-i cling to.
gembok	padlock.
gembol	meng-gembol carry (in baf, pocket, piece of cloth). gembol-an s.t. carried (in bag, etc.).
gembong	leader, brains, prominent figure.
gembor	1. see gembar-gembor. 2. watering can.
gembos	deflated.
gembreng	k.o. flat knobless gong.
gembrot	(java) big-bellied, paunchy.
gembul	1. always hungry, never satisfied. 2. full, fat.
gembung	1 swollen, distended, puffed (of stomach, cheek, etc.). 2 stuffed, filled.
gembur	loose (of soil). 2 crumbly (of bread).
gemelai	see gemulai.
gemelegar	see gelegar 2.
gemelentam	sound of booming cannon fire.
gemeletak	shiver, chatter (of teeth).
gemeletap	sound of tapping (of fingers on table or glass pane, etc.).
gemeletuk	see geletuk.
gemelintang	full of stars.
gemelugut	1 shake, shiver (from cold). 2 shudder.
gementar	see gemetar.
gemercak	splatter, splashing.
gemercik	see gemericik.
gemerencang	sound of clanging.
gemerencik	sound of splattering.
gemerencing	see gemerincing.
gemerencung	see gemerencang.
gemeresik	1 sound of rustling (of leaves). 2 sound of paper being crumpled.
gemeretak	sound of chattering teeth.
gemeretuk	/gemeretup/ sound of rattling or clanging.
gemericik	/gemerincik/ sound of water flowing in a small stream.
gemerincing	sound of clinking or tinkling (e.g. glass breaking, jingling money, etc.).
gemerlap	shining, gleaming, sparkling brightly.
gemerocok	see gemercak.
gemertak,gemertakan	sound of a crack or rattle.
gemertuk,gemertup	see geletuk.
gemerusuk	rustle.
gemerutuk	see geletuk.
gemes	see gemas.
gemetar	tremble. gemetar-an trembling, tremor.
gemi	see ikan.
gemik	meng-gemik signal with the finger.
gemilang	brilliant, shining, bright.
gemilap	see gemerlap, gilap. ke-gemilap-an glitter.
geminasi	(ling.) gemination.
geming	ber-geming keep quiet, be motionless.
geminte	/kheminte/ (coll.) municipality.
gempa	gempa-bumi earthquake. ber-gempa shake, jolt.
gempal	1. sturdy, plump (of build). 2. see gumpal.
gempar	uproar, commotion. ke-gempar-an tumult, stir.
gempel	adhere, fuse.
gempet,gempit	meng-gempet push into a corner.
gempil	(java) chipped,damaged. gempila-an chip, splinter, sliver.
gempita	loud. meng-gempita be noisy, loud.
