serahi	k.o. long-necked flask.
serai	lemongrass, citronella.
serak	hoarse, husky (of voice).
serakah	greedy.
serakahisme	greedy mentality.
serakan	garbage scattered about.
serakit	serakit
seram	hair-raising.
serambi	1 front porch, veranda. 2 platform (in station).
serampang	1. trident. 2. (coll.) strike at random.
serampang-duabelas	k.o. traditional indonesian social dance.
serampangan	at random, any old way.
serampangisme	mentality marked by doing whatever o. likes to do without regard to societal norms.
seran	stripe.
seranah	(lit.) a curse.
serancak	a set.
serandang	trestle, sawhorse.
serandung	stumble.
serang	1. attack. 2. (naut.) boatswain's mate.
serangga	insect.
serangkai	connected, tied together.
serangkak	barbs used to prevent s.o. from climbing a (fruit) tree.
serangkap	a set of s.t.
serangkul	in o. embrace.
serangkum	an armful.
serani	1 (lit., ambon) christian. 2 (lit.) portuguese-speaking christians of pre-19th century jakarta.
seranta	(lit.) proclaim widely.
serap	reserve, spare.
serapah	curse.
serasah	1. manure, offal. 2. k.o. printed cotton fabric from india. 3 mountain rapids.
serasi	harmonious, matching, compatible.
serat	1.1) fibrous parts of fruit, etc. 2) fiber. 2. tight, jammed.
serata	1 everywhere. 2 flat, as even as.
seratus	100 (a hundred).
seraut	numerical classifier for faces and some surfaces (moon, etc.).
serawak	(chem.) antimony.
seraya	while.
serba	completely, very much so.
serban	turban.
serbaneka	all k.o., diverse.
serbat	1 sherbet. 2 k.o. ginger drink with spices. 3 (java) k.o. drink of shredded young coconut and syrup.
serbet	napkin.
serbuan	1 attacvk. 2 stampede, rush.
serbuk	1 dust. 2 (biol.) pollen. 3 powder.
serda	[sersan dua] (mil.) sergeant 2d class.
serdadu	1 soldier. 2 mercenary in foreign pay (during the colonial period).
serdak	fine dust.
serdawa	see sendawa 2.
serdih	protruding (of chest or belly).
sere	see serai.
seregang	see regang.
sereh	see serai.
serelak	k.o. lacquer.
serem	see seram.
serempak	see rempak.
serempeng	see srempeng.
serempetan	1 abrasion. 2 stumble over e.o.
sereng	(java) rocket (firecracker).
serenjang	(lit.) stand up straight.
serenta	(java) as soon as.
serentak	1. 1) all at once, suddenly. 2) together, in a body. 2. 1) jointly, together, at once. 2) all at once. 3) as soon as.
serep	see serap.
seret	1 dry (of throat) so that o. has difficulty swallowing. 2 (coll.) sluggish (of traffic, the movement of goods, business). /se`re`t/ 1. dragging, trailing behind. 2. the unadorned edge of a batik cloth.
sergah	say s.t. with a snarl.
sergahan	harsh words.
