alto	kb. 1 penyanyi dengan suara alto. 2 nada suara wanita yang terendah.
animal	kb. 1 (wild) binatang. 2 (domesticated) hewan. a. fats lemak hewan. --ks. hewani. a. protein protein hewani. a. husbandry ilmu pemeliharaan hewan, ilmu peternakan.a. spirits semangat, jiwa sehat.
animate	ks. yang hidup, bernyawa. --kkt 1 menghidupkan, menjiwai, menggelorakan, menyemarakkan.
animated	ks. 1 yang mengasyikkan an a. discussion diskusi yang mengasyikkan. 2 hidup. a. cartoon kartun hidup.a. doll boneka yang seolah-olah hidup.
animation	kb. semangat, semarak, gelora, kegembiraan. his discussion was full of a. diskusinya penuh semangat.
animism	kb. animisme, penjiwaan (benda-benda).
animist	kb. penganut animisme.
animistic	ks. animistis.
animosity	kb. (j. -ties) dendam, kebencian, rasa permusuhan. he exhibited no a. toward his neighbor ia tidak memperlihatkan dendam terhadap tetangganya.
animus	kb. = animosity.
anise	kb. = aniseed. a. oil minyak adas manis.
aniseed	kb. adas manis.
anisette	kb. minuman yang mengandung adas manis.
ankle	kb. pergelangan kaki. i turned my a. pergelangan kaki saya keseleo. ankle-deep ks. sedalam pergelangan kaki. he was a. -deep in mud ia berdiri di lumpur sedalam pergelangan kaki.
anklet	kb. gelang kaki
ann.	(annual) tahunan.
annals	kb., j. tawarikh, sejarah.
annamese	kb. 1 seorang annam. 2 bahasa annam.
annapolis	kb. sebuah kota di negara bagian maryland. he is at a. dia belajar di akademi al di annapolis.
anneal	kkt. menguatkan (umpama baja, gelas dengan proses memanasi, kemudian mendinginkan). to a. an alloy menguatkan suatu logam campur.
annex	kb. 1 ruangan tambahan. 2 pavilyun. i stayed in the hotel a. saya menginap di pavilyun hotel itu. --kkt. 1 mencaplok, menyerobot. to a. an area mencaplok daerah. 2 menggabungkan.
annexation	kb. pencaplokan, penyerobotan. 2 penggabungan (dengan).
annihilate	kkt. menghancurkan, membinasakan, membasmi, menghapuskan. the army was annihilated tentara itu dihancurkan.
annihilation	kb. penghancuran, pembinasaan, pembasmian, penghapusan.
anniversary	kb. (j. -ries) (hari) peringatan, hari jadi, hari ulang tahun. tomorrow is their twentieth wedding a. besok adalah hari peringatan perkawinan mereka yang keduapuluh.a. edition terbitan peringatan, terbitan hari jadi, terbitan ulang tahun.
annotate	kkt. membubuhi keterangan. the play will have to be annotated sandiwara itu perlu dilengkapi dengan keterangan.
annotated	ks. beranotasi, bercatatan. a. bibliography bibliografi beranotasi.
annotation	kb. anotasi, catatan, keterangan.
annotator	kb. orang yang membuat anotasi/catatan-catatan.
announce	kkt. mengumumkan, memberitahukan, mempermaklumkan. she announced her engagement to mr. kasim ia mengumumkan pertunangannya dengan sdr. kasim.
announcement	kb. 1 pengumuman, pemberitahuan, maklumat. the a. of the meeting was made today pengumuman mengenai rapat itu dikeluarkan hari ini. 2 beriita, maklumat. wedding a. berita/maklumat pernikahan.
announcer	kb. (juru) penyiar. radio a. penyiar radio.
annoy	kkt. 1 mengganggu, menjengkelkan. 2 menggemaskan.
annoyance	kb. gangguan, kejengkelan.
annoying	annoying
annual	kb. 1 buku tahunan. 2 tanaman tahunan (of plants) --ks. 1 tahunan. a. report laporan tahunan. 2 tiap tahun. christmas is an a. event hari natal dirayakan tiap tahun.
annualy	kk. tiap-tiap/setiap tahun. we pay taxes a. kita membayar pajak tiap- tahun.
annuity	kb. (j. -ties) tunjangan hidup (simpanan untuk hari tua.).
annul	kkt. (annulled) membatalkan. the marriage was annulled perkawinan itu dibatalkan.
annulment	kb. pembatalan.
annum	lih per.
anoint	kkt. 1 meminyaki, memberi salep. 2 memberi upacara peminyakan suci. the priest was anointed by the bishop pendeta itu diberi upacara peminyakan suci oleh uskup.
anomalous	ks. ganjil, menyimpang dari yang biasa. the situation of a foreman without real authority is a. kedudukan seorang mandor tanpa kekuasaan yang sesungguhnya adalah ganjil.
anomaly	kb. (j. -lies) 1 kelainan. 2 keganjilan, keanehan, penyimpangan dari yang biasa.
anon	kk. segera. i'll be there a. saya akan segera kesana.
