alto	kb. 1 penyanyi dengan suara alto. 2 nada suara wanita yang terendah.
assembly	kb. (j. -lies) 1 pertemuan, kumpulan. 2 majelis. 3 pemasangan.
assent	kb. persetujuan. --kki. menyetujui, membenarkan, mengiakan.
assert	kki. 1 menyatakan, menegaskan. 2 menuntut, memaksakan. to a. o.s. menonjolkan diri, menuntut hak.
assertion	kb. 1 pernyataan yang tegas. 2 tuntutan. 3 penonjolan.
assertive	ks. 1 tegas. i'm an a. person saya seorang yang tegas. 2 sombong.
assess	kkt. 1 menaksir. the city assessed my property at a higher amount kotapraja menaksir milik saya lebih tinggi. dari yang sesungguhnya. 2 membebani. 3 menilai. how do you a. the situation? bagaimana penilaianmu terhadap keadaan itu?
assessable	ks. wajib pajak.
assessment	kb. 1 taksiran, penaksiran. a. of a house taksiran sebuah rumah. 2 penilaian. a. of a situation penilaian keadaan. 3 beban, pembebanan, pemikulan.
assessor	kb. juru taksir, penaksir.
asset	kb. modal, milik, sifat yang bernilai. tact is a useful a. in a young man bijaksana adalah modal (yang baik) bagi seorang pemuda. --assets j. aktiva. the assets of this firm are astimated at two million dollars aktiva firma ini ditaksir dua juta dollar.
assidnous	ks. tekun, penuh perhatian. he's a. in his studies ia tekun dalam studinya.
assiduity	kb. 1 ketekunan, kerajinan. he displays a. in everything he does ia memperlihatkan ketekunan dalam segala sesuatu yang dikerjakannya. 2 sikap selalu penuh perhatian.
assign	kkt. 1 memberikan. 2 mengangkat, menempatkan. 3 menetapkan, menentukan. 4 menyerahkan. 5 menugaskan. 6 menyebutkan dengan pasti.
assignment	kb. 1 tugas. i am glad to undertake this a. saya girang melakukan tugas ini. 2 penugasan. 3 pengangkatan, penempatan. 4 penetapan. 5 penyerahan (hak atau milik). 6 pekerjaan.
assimilate	kkt. 1 memahamkan, mengerti, menerima. 2 mengasimilasi. 3 mencernakan. --kki. berasimilasi, menerima, menjadi sama.
assimilation	kb. asimilasi, perpaduan, percampuran yang harmonis, penerimaan (yang merata).
assist	kb. bantuan. he received an a. when his tire went flat ia menerima bantuan ketika bannya pecah. --kkt., kki. membantu, menolong. she assisted me ia membantu saya.
assistance	kb. bantuan, pertolongan. he came to her a. ia datang membantu wanita itu. can i be of any a.? apakah saya dapat membantu?
assistant	kb. 1 pembantu, asisten. 2 wakil, pembantu. a. director wakil direktur. a. professor rektor.
assn.	(association) (per)himpunan, persatuan.
associate	kb. 1 teman sejawat, kompanyon, kolega. 2 maskapai. 3 teman, rekan, sekutu. --ks. luar biasa, tidak penuh. --kkt. menghubungkan. --kki bergaul, bercampur gaul.
association	kb. 1 perkumpulan, persatuan. the writers' a. persatuan pengarang. 2 asosiasi, gabungan. 3 persahabatan, pergaulan. knowing you has been a happy a. kenal dengan kau adalah suatu persahabatan yang menyenangkan.
assonance	kb. purwakanti.
assort	kkt. menyusun. --kki. 1 bergaul. 2 cocok, sejenis.
assorted	ks. 1 rupa-rupa, bermacam-macam, berjenis-jenis 2 campuran.
assortment	kb. bermacam-macam, campuran, golongan. there's a nize a. of books in that shop ada bermacam-macam buku yang baik di toko itu.
assuage	kkt. 1 meredakan, menenangkan, mengurangi. to a. her fears meredakan ketakutannya. 2 mengakhiri, menghilangkan. ice water assuages my thirst air es menghilangkan kehausan saya.
assume	kkt. 1 mengambil. 2 memikul, menerima, menanggung. 3 memangku, mulai bekerja. 4 menganggap. -kki. 1 mengira, menganggap, mengharap. 2 bukan.
assumed	ks. pura-pura, sok.
assumption	kb. 1 penerimaan. 2 pengiraan, pra-anggapan. 3 anggapan, perandaian.
assurance	kb. 1 kepastian, jaminan. can you give some a. that they will be here? dapatkah kau memberi kepastian bahwa mereka akan ada disini? 2 ayem, tenang. he has an air of a. about him ia kelihatannya ayem sekali.
assure	kkt. 1 jamin, tanggung. 2 percaya, yakin.
assured	ks. 1 percaya, yakin. 2 pasti, terjamin.
assuredly	kk. pasti, tentu.
aster	kb. aster (semacam bunga).
asterisk	kb. asterisk, (tanda) bintang.
astern	kk. bagian belakang, di buritan. the boat moved rapidly a. kapal itu mundur dengan cepat. full speed a. mundur (dengan kecepatan) penuh.
asteroid	kb. asteroida.
asthma	kb. sakit bengek, asma.
asthmatic	ks. berpenyakit/menderita asma.
astigmatic	ks. astigmatik.
astigmatism	kb. 1 astigmatisme. 2 penolakan terhadap apa-apa yang benar.
astir	ks., kk. bergerak. not a creature was a. tak ada satupun makhluk yang bergerak.
astonish	kkt. mengherankan. her conduct astonished me tingkah lakunya mengherankan saya.
astonished	ks. heran.
astonishing	ks. mengherankan. his generosity was a. kemurahan hatinya mengherankan.
astonishment	kb. keheranan.
astound	kkt. sangat mengherankan/mengejutkan. his sudden death astounded us wafatnya dengan tiba-tiba sangat mengherankan kami.
astral	ks. yang berhubungan dengan bintang-bintang.
astray	kk. (ter)sesat, kesasar. i'm afraid you've gone a. saya kuatir engkau sesat. to lead s.o. a. menyesatkan seseorang. to go a. 1 menjadi nakal (of a person). 2 kesasar/tidak sampai (of a letter).
astride	kk. mengangkang (seperti naik kuda, sepeda dsb). he sat a. his motorcycle ia duduk mengangkang diatas sepeda motornya.
astringent	kb. zat yang menciutkan.
astrologer	kb. ahli nujum.
astrological	ks yang berhubungan dengan ilmu nujum.
astrology	kb. ilmu nujum perbintangan.
astronautics	kb. astronotika.
astronomer	kb. ahli astronomi/falak/bintang-bintang.
astronomical	ks. 1 yang berhubungan dengan ilmu falak. a. computations hitung-hitungan astronomi. 2 jumlah yang amat besar. a. observatory gardu penilikan bintang.
astronomy	kb. astronomi, ilmu falak/bintang(-bintang).
astronout	kb. astronot, angkasawan, juru angkasa. woman a.... angkasawati.
astrophysicist	kb. ahli astrofisika.
astrophysics	kb. astrofisika.
astute	ks. lihay, cerdik, tajam. he's an a. bussinessman ia adalah seorang pengusaha yang lihay.
astuteness	kb. kecerdikan, kelihayan.
asunder	kk. hancur remuk. the log was split a. kayu gelondongan itu hancur remuk.
asylum	kb. 1 suaka, asli asyl. he sought a. in another country ia mencari suaka di negara lain. 2 rumah sakit. insane/mental a. rumah sakit gila.
asymmetrical	ks. asimetris.
asymmetry	kb. asimetri.
asymptote	kb. asimtot, garis lurus yang mendekati suatu kurva, tetapi tidak memotongnya pada jarak yang dekat.
at	kd. 1 di. 2 pada. 3 atas. 4 kepada. 5 dengan. 6 menurut. at all 1 sama sekali. 2 juga. at all coats bagaimanapun juga. at best sebaiknya, dalam keadaan sebaik-baiknya. at first mula-mula. at last akhirnya. at times kadang-kadang.
atavism	kb. atavisme.
atavistic	ks. yang berhubungan dengan atavisme.
ataxia	kb. ataxia, kehilangan perasaan keseimbangan.
ate	lih eat.
atelier	kb. studio, kamar/tempat kerja, loka cipta.
atheism	kb. atheisme, keatheisan.
atheist	kb. atheis. the atheists j. kaum dahriah.
atheistic(al)	ks. atheistis.
athematic	ks. tanpa tema (musik).
athlete	kb. olahragawan, olahragawati, atlit.
athletic	ks. keolahragaan.
athletics	kb., j. olahraga, sport.
athwart	kk. (arah) melintang.
atlantic	kb., ks. atlantik. a. ocean samudera atlantik.
atlas	kb. atlas, buku peta. road a. peta jalan.
atmosphere	kb. 1 atmosfir, lapisan udara atau gas-gas yang meliputi bumi. 2 udara. 3 suasana. 4 phys.: satuan dalam tekanan udara.
atmospheric	ks. yang berhubungan dengan atmosfir.
atoll	kb. atol, pulau karang yang merupakan lingkaran di laut-laut tropika.
atom	kb. atom. a. bomb bom atom. not an a. sezarrahpun tidak. a. smashing penghancuran atom.
atomic	kb., j. atomics bagian ilmu alam yang mempelajari teori atom, struktur, tenaga, dsb. -ks. yang berkaitan dengan atom. a. pile reaktor. a.waste sisa-sisa proses penghasilan tenaga atom. a. weight berat/bobot atom.
atomize	kkt. 1 memisahkan menjadi atom. 2 menyemprotkan suatu cairan. 3 mengubah zat/cair menjadi bagian-bagian yang sangat kecil.
atomizer	kb. 1 alat penyemprot. 2 pompa semprot. 3 pengabut.
atonal	ks. mus.: tanpa nada.
atone	kki. bertobat, menebus. we must a. for our sins kita harus bertobat atas dosa-dosa kita.
atonement	kb. taubat, tobat, penebusan kesalahan atau dosa . day of a. hari penebusan (dosa). to make a. for bertobat atas.
atonic	ks. 1 tanpa tenaga, lemah. 2 tanpa tekanan atau suara. an a. syllable sukukata tanpa tekanan.
atop	ks. di puncak, diatas. he sat a. a flagpole ia duduk di puncak tiang bendera.
atrocious	ks. 1 tidak sopan, kurang ajar, kasar. he has a. manners tingkah lakunya tidak sopan. 2 kejam, mengerikan. that was an a. crime itu adalah kejahatan yang kejam. 3 buruk sekali (of food).
atrocity	kb. (j. -ties) 1 kekejaman, kekejian 2 inf.: ketidak sopanan, kekasaran.
atrophied	kki. mengalami atrophia.
att.	(attorney) pengacara.
attach	kkt. 1 melampirkan, mencantelkan, mengikatkan. 2 mempekerjakan. 3 membubuhkan. 4 memberikan. 5 mengambil, memotong. 6 menyematkan. -kki. melekat/terletak pada.
attache	kb. atase. military a. atase militer. a. bag/case tas atase, tas diplomat.
attached	ks. dempet.
attachment	kb. 1 alat pelengkap/tambahan. 2 kasih sayang, cinta.
attack	kb. 1 serangan, penyerbuan. to be on the a. a) sedang menyerang. b) menjadi pihak yang menyerang. 2 bangkitan (of nerves). -kkt. 1 menyerang (a town). 2 memecahkan (a problem). -kki. menyerang.
attacker	kb. penyerang, penyerbu.
attacking	attacking
attain	kkt. mencapai. he's attained the age of 70 ia telah mencapai usia 70 tahun. -kki. to a. to mencapai. he finally attained to a very high position akhirnya ia mencapai kedudukan yang sangat tinggi.
attainable	ks. dapat dicapai. that goal is a. tujuan itu dapat dicapai.
attainment	kb. 1 hasil yang dicapai. 2 pencapaian, tindakan atau proses mencapai sesuatu. 3 hasil karya.
attempt	kb. percobaan, usaha. he will succeed or perish in the a. ia akan berhasil atau mati didalam percobaan. -kkt. mencoba. the plane attemped a landing kapal terbang itu mencoba mendarat.
attend	kkt. 1 menghadiri (a meeting). 2 mengurus, merawat. 3 menyertai. 4 mengikuti.
attendance	kb. 1 kehadiran. compulsory a. kehadiran yang diharuskan. 2 orang yang hadir. the a. at the meeting was poor orang yang hadir pada rapat itu sedikit sekali.
attendant	kb. pembantu, pelayan. -ks. 1 yang hadir. 2 menyertai.
attention	kb. 1 perhatian. to call a. to meminta perhatian pada. he called my a. to the error ia meminta perhatian saya pada kesalahan itu. 2 mil.: siap.
