cuka	vinegar.
defaitis	(lit.) defeatist.
defaitisme	defeatism.
defensif	defensive.
defile	1 (mil.) review, march past. 2 file past (a coffin).
definisi	definition.
definitif	definitive.
defisiensi	deficiensy.
defisit	deficit.
deflasi	deflation.
defleksi	deflection.
deformasi	deformation.
degam	sound of boom, such as thunder, cannon, etc.
degan	(java) young coconut.
degap	1. sturdy, robust. 2. 1) sound of nonmetallic surface being struck. 2) heartbeat.
degar	1 sound of a surface being struck hard. 2 sound of breaking down a door.
degdeg, degdegan	sensation of pounding (of heart).
degen	(sport) foil in fencing.
degenerasi	degeneration.
degil	obstinate, headstrong.
deging	ber-deging persevere through thick and thin.
degleng	slanting (of walls of decrepit buildings).
degradasi	degradation.
degub	see degup.
deguk	sound of gurgle.
degum	sound of boom, such as cannon being fired.
degung	1 sound of gong. 2 (sunda) gamelan.
degup	sound of gulp.
degur	sound of surf.
deh	(jakarta 1 come on, please do (an urging particle). 2 oh, all right, iwill agree. 3 that is the way it is, i guarantee you.
dehem	clearing of throat.
dehidrasi	dehydration.
dehoi	see indehoi.
dek	1. (naut.) deck. 2. (coll.) blanket.
dekaden	decadent.
dekadensi	decadence.
dekah-dekah	see tawa.
dekak-dekak	abacus.
dekam	ber-men 1 be in crouching position (of cat, etc.). 2 be cooped up. 3 be incarcerated.
dekan	bamboo rat.
dekap	1. with folded arms. ber-, men- embrace, hug. 2. near. 3. noise of heartbeat.
dekar	men-dekar fight with a sword.
dekat	1 near, close by. 2 vicinity.
dekih	sound of a chuckle.
dekik	small indentation.
dekil	caked with dirt.
deking	1 protection, shelter, cover. 2 patron, protector. 3 (fin.) reserve
deklamasi	formal stylized recitation of poetry, etc.
deklamator	orator (esp. of poetry).
deklarasi	1 customs declaration. 2 voucher.
deklerer	(crd.) declarer.
deklinasi	1 (astr.) declination. 2 (ling.) declension.
dekolonisasi	decolonization.
dekon	(deklarasi ekonomi) economic declaration (enunciated by sukarno in 1963).
dekonsentrasi	decontration.
dekor	decor.
dekorasi	1 decoration, decor. 2 (mil.) medal, ribbon.
dekret	/dekrit/ decree, edict.
dekuk	work hard.
dekur	see dekut.
dekus	sound of hissing or snorting.
dekut	sound of cooing.
delah	k.o. saltwalter fish.
delapan	eight.
delegasi	delegation.
delep	(java) 1 sink, go below surface. 2 make o.s unobstrusive.
deles	pure-blooded.
deligir	delegate (power).
delik	wide-open (of eyes).
delikan	(java) game of hide and seek.
delikuensi	deliquency.
delima	pomegranate.
delman	k.o. two-wheeled buggy.
delong	sunken (of eye).
delta	delta.
delujur	see jelujur.
dema	(dewan mahasiswa) student council.
demagog	demagogue.
demagogi	demagoguery.
demah	warm compress.
demam	1 fever, feverish. 2 (coll.) fad.
deman	like, be fond of.
demang	1 village headman in java. 2 customary law expert. 3 village gvt. officer.
demarkasi	demarcation.
dembam	see debam.
dembum	see debum.
demek	moist, still wet.
demen	see deman.
demes	flat (of nose).
demi	1. 1) for the sake of. 2) by (in oaths). 2. 1) as soon as. 2) (immediately) after , by.
demikian	1 such. 2 thus, such was the case.
demiliterisasi	demilitarization.
demisioner	1 ask for resignation of a cabinet. 2 strip (of authority, power).
demit	see dedemitan.
demo	1. (delman bermotor) small motorized threewheeled vehicle used for public transportation. 2. see demonstrasi.
demobilisan	demobilized member of armed forces.
demobilisasi	demobilization.
demograf	demographer.
demografi	demography.
demografis	demographic.
demokrasi	democracy.
demokrat	democrat.
demokratis	democratic.
demokratisasi	democratization.
demokratiser	/demokratisir/ democratize.
demonstarsi	1 demonstration, protest. 2 demonstration (of cars, radios, etc.).
demonstran	participant in demonstration, protester
demoralisasi	demoralization.
demoralisir	men-demoralisir demoralization.
demotrasi	see demonstrasi.
dempak	1 low and flat. 2 stocky.
dempal	(java) physically strong.
dempang	hollow sounding (as the fall of empty barrel).
dempel	near to.
dempet,dempet	stuck together.
dempir	sound made by cymbal.
dempit	see dempet.
demplon	(jakarta) cute, pretty.
dempok,dempuk	ber-dempok bump against, collide with.
dempul	glazier's putty, boat caulking.
dempung	sound of s.t. falling into water.
den	see raden.
denah	sketch, blueprint, ground plan.
denai	trail, track (of wild game).
denak	decoy (used in hunting).
denas	(dewan nasional) national council.
dencang	ber-dencang rattle, clang.
dencing	see denting.
dencis	see sarden.
denda	fine.
dendam	1 reverenge, vengeance. 2 grudge, resentment. 3 yearning, longing.
dendang	1. crow (bird). 2. see dandang 1.
dendeng	jerked meat.
denderang	sound of drum or heavy steps.
dengan	1 with, accompanying. 2 and. 3 by, by means of. 4 in. 5 by way of. 56 in the manner of.
dengap	ber-dengap 1pound, beat (of heart). 2 pant, be out of breath, gasp (for breath).
dengar	hear.
denger	(java, jakarta) see dengar.
dengih	sound of rapid breathing or gasping.
denging	sound of ringing (in ears). ber-, men- buzz, ring (in ears).
dengkang	sound of croaking frogs.
dengkang-dengkol	crooked, bent and bowed (of hand, tree branch, etc.).
dengki	envy, spite.
dengkik	become weak from lack of food.
dengking	1 sound of dog yelping. 2 a yelp, squeal, or scream.
dengkir	men-dengkir chirp.
dengklang	lame, limping.
dengkul	(java, jakarta) knee.
dengkung	1growl (of dog). 2 sound of metal on metal.
dengkur	1 snore, snoring. 2 grunt. 3 purr.
dengkus	/dengu/ 1. whinny, snort. 2. dengu see dungu.
denguk	sound of sobbing.
dengung	sound of droning, buzzing, purring, etc.
dengus	1 snort (of animals). 2 deride with a snort.
dengut	sound of murmuring (of quail), sound of vibrating (of xylophone, gong).
denok	(java) term of address to young girl, esp as nok.
denotasi	denotation.
densitas	density.
dentam	sound of gunfire, pounding on anvil, etc.
dentang	sound of clanging or loud explosion.
dentar	clang.
denting	sound of jingle or tinkle (of money, piano, keys, etc.).
dentum	sound of boom (explosion, cannon, etc.).
dentung	sound of clap of thunder.
dentur	sound of pop, small explosion, etc. ber-, men- crackle, pop.
denudasi	denudation.
denyak	see enyak.
denyar	flash.
denyit	sound of shrieking and high-pitched noises.
denyut	throb, beat.
deodoran	deodorant.
dep	men-, menge- pigeonhole, shelve (a question).
depa	fathom.
depag	(departemen agama) department of rreligious affairs.
depak	1. akick. 2. sound of clap, clip-clop (esp. of horses'hoofs, etc.).
depan	1 fron. 2 ahead. 3 coming, next.
depang	ber-depang stretch out both arms sideways.
depap	sound of slap (i.e. palm of o.'s hand striking table, etc.).
deparlu	(departemen luar negeri) department of foreign affairs.
deparpolisasi	(pol.) simplification of political party structures, decreasing of number of political parties.
departemen	ministry.
depdagri	(departemen dalam negeri) department of internal affairs.
dependensi	1 dependency, dependence. 2 (colonial) possession.
deperdag	(departemen perdagangan) department of commerce.
depersonalisir	men-depersonalisir depersonalize.
depertan	(departemen pertanian) department of agriculture.
depinisi	see definisi.
depisen	see devisa.
depkeh	(departemen kehakiman) department of justice.
depkes	(departemen kesehatan) department of health.
depkeu	(departemen keuangan) department of finance.
deplu	(departemen luar negeri) department of foreign affairs.
depnaker	(departemen tenaga kerja) department of labor.
depnakertranskop	(departemen tenaga kerja transmigrasi dan koperasi) department of labor, population resettlement, and cooperatives (until 1978).
depo	see depot.
depok	reside.
depolitisasi	depoliticization.
deponir	men-deponir delay, put on ice.
deportasi	deportation.
deposan	depositor.
deposito	(fin.) fixed deposit (us. bearing high interest).
depot	refreshment stand.
deppen	(departemen penerangan) department of information.
depresi	financial depression.
depresiasi	(fin.) depreciation.
deprok	(me)n-1 sit on floor without folding legs. 2 (coll.) sit s.w. uninvited.
depsos	(departemen sosial) department of social services.
depteri	diphtheria.
depus	sound of sighing, exhaling air, etc.
deputasi	deputation, delegation.
deputi	deputy.
der	sound of explosion.
dera	lash (of whip), lashing.
derai	1. sound of water dripping on or beating against glass, etc. 2. grain.
derajat,derajah	1 degree. 2 rank, level. 3 standard. 4 latinate qualifiers of university degree (e.g. cum laude, etc.).
derak	sound of snap (such as tree branch breaking, gnashing of teeth, etc.).
deram	sound of rumble (thunder, tigers roar, drum roll, etc.).
derang	sound of ringing clank (chains or coins falling, of small gongs, etc.). ber-, men- make a resonant, often metalic sound.
derap	sound of stamping on flat surface (horse's) trot, marching feet, etc.), trop, clop.
deras	1. swift (esp. of flowing liquids). 2. sound of trash or sand being stepped on. 3. see daras.
derau	sound of roaring (wind-borne rain, etc.).
derek	1. crane, cargo boom. 2 see deret.
derep	men-derep harvest rice.
deres	1. men-deres tap tree to extract sap (suga palm). pen-deres tapper. 2. men-deres recite the koran.
deresi	(r.r.) passenger car.
deret	row, line, series.
deretak	sound of repeated rattling.
derhaka	see durhaka.
deriji	see jeruji.
derik	creaking sound.
deril	see dril.
dering	1 sound of tinkling (bells, etc.). 2 sound of crickets chirping.
deris	sound of rustling (of stepping on dry grass, of cutting cloth, etc.).
derit	sound of squeak (a brake, etc.).
derita	suffering.
derma	alms, donation. pen-derma donor.
dermaga	quay, pier.
dermatalog	dermatologist.
dermatologi	dermatology.
dermawan	donor, philanthropist.
dermimil	(java) 1 mumble. 2 talk incessantly.
derobos	see terobos.
dersana	see jambu.
dersik	sound of sighing or rustling (leaves in wind).
deru	sound made by storm, thunder, large trucks, planes, etc.
deruji	see jeruji.
deruk	sound of heavy object crashing.
derum	1. sound of muffled rumble (distant thunder, whir of engine). 2. see drum.
derun,derung	see derum 1.
derup-derap	sound of many footsteps.
derus,derut	sound of objects being rubbed or shifted.
derwis	/derwisy/ see darwis.
desa	village.
desah	1 sound of wheezing or huffing. 2 swishing (of leaves, etc.). 3 sigh.
desak	1. sound of crumpling paper. 2.
desapraja	see desa.
desar	sound of sizzling or hissing.
desas-desus	1 sound of hissing or whispering. 2 rumor.
desau	sound of soft rustling.
desegregasi	desegregation.
desember	december.
desentralisir	men-desentralisir decentralize.
desersi	desertion.
desertir	deserter, defector.
desik	sound of light snapping (branch breaking, etc.). ber-, men- rustle.
desimal	1 decimal. 2 decimal fracton.
desimeter	10 centimeters.
desinfeksi	disinfectant.
desing	sound of whizzing (wind blowing, shot fired, etc.).
desintegrasi	disintegration.
desir	sound of hissing, rustling, or slurping.
desis,desit	sound of hissing or sizzling.
deskripsi	description. men-deskripsi-kan describe.
deskriptif	descriptive.
despot	despot.
despotisme	despotism.
destar	java head cloth, k.o. turban.
destilasi	see distilasi.
destruksi	destruction.
destruktif	destructive.
desuk	see desak 1.
desur	sound of forceful rustling.
desus	sound of light whispering.
desut	sound of forceful blowing.
detail	see detel.
detailer	medical sales representative.
detak	sound of tapping.
detar	sound of sizzling or whirring (roasting corn, wheels turning, etc.).
detas	sound of light crackling explosion (eggshell breaking, etc.).
detasemen	(mil.) detachment.
detasering	temporary deployment to another place of work.
detasir	men-detasir (mil.) detail, detach to another unit.
detdot	sound of tooting. ber-detdot-detdot sound the horns.
deteksi	detection, discovery.
detektif	/detektip/ detective.
detektor	detector.
detel	detail.
deterjen	detergent.
determinan	determinant.
determinasi	determination, decision.
determinisme	determinism.
detik	1 sound of ticking (of clock). 2 second (unit of time), moment.
detil	see detel.
deting	sound of light twanging (i.e. of plucked guitar string, etc.).
detonator	detonator.
detus,detup	sound of light explosion (gun firing, firecracker, etc.).
devaluasi	(fin.) devaluation.
devaluir	(fin.) men-devaluir devaluate.
deviasi	deviation.
devisa	/devisen, devizen/ (fin.) foreign exchange.
dewa	god, idol.
dewan	1 council. 2 board.
dewangga	k.o. cloth design.
dewani	1 council member. 2 council.
dewasa	1 adult, of age. 2 (lit.) time.
dewasawan	a mature person.
dewata	gods.
dewe,dewek	(java) o.'s own.
dewi	1 goddless. 2 darling, beloved.
dewi-dewi	(naut.) davit.
dg.	(daeng) title in s. sulawesi.
dh.	1. (dahulu) formerly. 2. (dengan hormat) with respectful salutation (in correspondence).
dhalim	see lalim.
dharma	1. term used in names of associations. 2. see darma.
dhat	see zat.
dholim	see lalim.
di	1 in, at, on, upon (general locative preposition). 2 (coll.) at, on (temporal preposition).
di-	3d person passive verbal prefix.
dia	1 he,she. 2 (coll.) it.
diabet	diabetes.
diacon	(rel.) deacon.
diafan	diaphanous.
diafragma	/diafrakma/ (anat.) diaphragm.
diagnosa	/diagnose/ diagnosis.
diagnostik	diagnostic.
diakritis	diacritical.
dialek	(ling.) dialect.
dialektik	/dialektika/ dialectic.
dialektis	dialedtical.
dialog	/dialoog/dialogue.
diam	1. 1) silent, quiet. 2) motionless. 3) idle. 2. reside.
diameter	diameter.
diametrikal	/diametris/ diametrical.
dian	taper or oil lamp.
diancuk	(java, vulg.) dammit ! fuck you !.
diang	1. warm o.s. near the fire (esp. after childbirth). 2. see mendiang.
diare	diarhea.
diaspor	diaspora.
