tutuh	lop off, trim.
wala	(wajib latih) military training requirement for civilians (1970s).
walaah	/wala:h/ (coll.) 1 come on get serious ! (exclamation of belittlement). 2 oh no ! (exclamation expressing disapproval of a situation).
walafiat	see sehat.
walaikumsalam	(islam) and peace be to you (in reply to the greeting assalam alaikum).
walakhir	(lit.) (and) in the end, finally.
walakin	(lit.) although.
walama	(wajib latih mahasiswa) military training requirement for students (in the 1970s).
walang	(java) grasshopper, locust. walang-hati anxious, concerned. walang-sangit k.o. insect that releases a pungent smell.
walau	/walaupun/ although.
walawa	(wajib latih mahasiswa) military training requirement for students 9in the early 1970s).
waled	(java) ooze, alluvium. waled-an arrears (in payment, salary).
walet	(java) k.o. swallow.
walhasil	(lit.) with the result that...
wali	1 (islam) male relative legally responsible for a bride, us. her father. 2 guardian, proxy. 3 high civil servant. 4 religious leader.
walikota	mayor.
walimah	wedding party.
waliullah	(islam) holy person.
wallah	see walaah.
wallahi	i swear by god !.
wallahualam	1 god knows best. wallahualam-bissawab gods knows the truth. 2 heaven knows ! (i do not).
wals	/walsa/ waltz.
waluh	(java) squash, gourd, pumpkin.
waluku	(java) plow.
wamil	(wajib militer) conscription.
wamilda	(wajib militer darurat) emergency military obligation.
wampa	(wakil menteri pertama) deputy chief minister.
wan	1 term of reference or address for males of arab descent. 2 tittle for nobility in some areas.
wana	(china) an indigenous indonesian.
wang	see uang.
wangi	fragrant.
wangi-wangian	perfumery, all k.o. scents.
wangkang	ocean-going sailboat.
wangsa	dynasty.
wangsat	expression of reproach: you animal !.
wangsit	(java) divine inspiration.
wanita	woman.
wanra	(perlawanan rakyat) people's militia.
wanti-wanti	(java) repeatedly, time after time.
wantunas	see watunas.
wap	see uap 1.
wapat	see wafat.
waperdam	(wakil perdana menteri) vice-premier.
wapres	(wakil presiden) vice-president.
wara	(wanita angakatan udara) women's section of the air force and its members.
warak	(islam) observant of religious obligations, esp regarding abstinence.
warakat	see warkah.
warakawuri	(lit.) army widow.
warangan	see berangan 1.
waranggana	(java) singer in gamelan orchestra.
waras	1 having full possession of o.'s senses. 2 healthy.
warawiri	1. (lit.) hibiscus. 2. 1) back and forth. 2) fickle, unstable.
warek	(java, jakarta) satiated, full.
warembol	k.o. sweet roll.
warga	1 accredited member of an association. 2 citizen.
waria	(wanita pria) transsexual, transvestite homosexual.
waringin	(java) see beringin.
waris	heir.
warisan	legacy, inheritance.
warkah	/warkat/ (lit.) letter. warkat-pos 1 aerogram. 2 postal form for domestic mail similar to an aerogram.
warmbol	see warembol.
warna	1 color. warna-bahasa (ling.) speech level. warna-suara/nada timbre. warna-warni all k.o. colors. 2 (crd.) suit.
warni	see warna.
warok	(java) k.o. ascetic expert of martial arts, often homosexual.
warong	see warung.
warsa	(lit.) year.
warta	1 report, communication. warta-harian daily newspaper. 2 news. warta-berita news broadcast.
wartawan	journalist, correspondent.
wartawati	woman reporter or journalist.
warteg	(warung tegal) food stall with cheap food (us. with little or no meat).
waru	1. (crd.) spades. 2. see baru 2.
waruna	see baruna.
warung	small shop, stall. warung-keliling itinerant food stall. warung-kopi coffee shop. warung-nasi food stall. warung-remeng-remeng 1 dimly lit food stall. 2 food stall for assignations in a prostitution complex.
wasalam	see wassalam.
wasana	(lit.) final.
wasangka	suspicion.
waserai	dry-cleaners and laundry.
waseraian	dry-cleaned clothes.
wasiat	1 dying exhortation, last will and testament (spoken or written). 2 magic power (of an ancient heirloom).
wasilah	/wasilat/ relation, connection, bond.
wasir	see bawasir.
wasit	1 referee, umpire. 2 arbiter.
wasitah	medium, spirit.
waskita	clairvoyant, psychic.
waskom	see baskom.
waslap	washcloth, scrubbing towel.
waspada	wary, on guard.
wassalam	peace be with you ! (use to conclude letters), sincerely yours.
wassalamualaikum	(islam) and peace be with you (used to close letters and speeches). -warakhmatullahi wabarakatuh and peace be with you and god's blessing (used to close letters and speeches).
wasserij	/waserai/ see waserai.
wastafel	bathroom sink, wash basin.
waswas	/waswisu/ anxious, uneasy to the point of being suspicious.
wat	thai buddhist temple.
watak	1 nature, disposition. 2 character (of novel, etc.).
watermantel	water-cooled machine gun.
waterpas	carpenter's level.
waterpoken	(coll.) chicken pox.
waterpruf	/waterprup/ waterproof.
watt	watts.
wattase	wattage.
watunas	(wanita tuna susila) prostitute.
wau	the 25 letters of the arabic alphabet.
wauw	(coll.) wow !.
wauwau	k.o. gibbon.
wawancara	interview.
wawansantap	(lit.) friendly, informal meal or banguet.
wawasan	1 insight, perception. 2 concept. wawasan-nusantara the archipelago concept (i.e. the maritime territory of indonesia includes all the water between the islands).
way	see wai 1.
wayang	1 shadow play with leather puppets often. 2 leather puppet. 3 traditional drama performance of java and bali. wayang-golek wooden puppet show. wayang-kulit shadow play with leather puppet. wayang-orang java stage show us. with wayang themes.
wayer	electric fan.
wayuh	(java) have more than o. wife.
wazir	1 (lit.) vizier. 2 (che.) queen.
wb.	see wr. (wb.).
wc	/wese/ (water closet) toilet, restroom.
we	1. (java) gosh !. 2. see owe.
wedana	(java) district chief.
wedar	(java) disclose.
wedel	(java) dye.
wedelan	s.t. dyed.
wedung	(java) cleaver.
wegah	see ogah.
wejang	advice, instruct.
wejangan	1 advice. 2 speech containing advice.
weker	/wekker/ see beker 1.
welang	(java) see belang.
welas-asih	(java) mercy.
welasan	welasan
weling	last will and testament.
welirang	see belerang.
weluku	see waluku.
wenang	syiwa's father (in the wayang).
werak	recruiter of laborers.
werda	(mil.) a guard's call :" who is there ?"
werdha	see wisma.
werek	see werak.
werek-kontrak	(coll.) contract labor.
wereng	k.o. rice pest.
wesak	holiday marking buddha's birth, enlightenment, and death.
wesel	1. money order, draft. 2.(r.r.) railway switch.
weselbor	(tel., r.r.) switchboard.
weselpos	see poswesel.
wesi	(java) see besi.
wesio	(china) buddhist monk.
westernisasi	westernization.
wet	(coll.) law.
wetan	(java) east.
wewangian	perfurmery.
wewegombel	(java) k.o. ugly female ghost with sagging breasts.
wewenang	authority, competence.
wiara	see wihara.
