sitar	see siter.
stadium	(med.) stage of a disease.
staf	staff.
stagen	(java) women's waist sash or cummerbund.
stagnasi	stagnation.
staking	(coll.) a strike (work stoppage).
stalles	(coll.) center seats in a theater.
stambom	1 lineage. 2 pedigree (of animals).
stambuk	ledger.
stambul	k.o. stage show often featuring indigenous versions of western drama.
stamina	stamina.
stan	/stand/ 1. (sport) score. 2. stand, small shop (in recreation or shopping centers).
standar	1. standard. 2. bicycle or mortorcycle kickstand. 3. (mil.) standards, emblems of an army, etc.
standardisasi	standardization.
stang	1 bar (of vehicle, engine, etc.). 2 handlebar of a bicycle. 3 (coll.) control s.o. or s.t.
stanplas	/stanplat/ bus stop.
stansa	stanza.
star	(med.) catatact.
start	1 (coll.) begin a journey. 2 (sport) start.
starter	1 (auto.) starter. 2 (elec.) flourescent light starter.
stasi	(rel.) station of the way of the cross.
stasioner	stationary.
stasiun	see setasion.
stater	see starter.
statif	stative.
statis	static, stationary.
statistik	1 statistics. 2 statistical, according to statistics.
statistikus	statistician.
statistisi	statisticians.
status	status.
statuta	/statuten/ statutes.
stek	see setek.
steker	1 electrical plug, light switch. 2 cigarette lighter.
stel	see stil.
steling	(mil.) 1 installation, camps. 2 position. 3 take a position.
stelsel	system.
stembat	see stimbat.
stempel	see setempel.
stempet	lubricating grease.
sten-gun	k.o. machine gun.
steno	/stenografi/ stenographer.
stensilan	1 a stencil. 2 mimeographed materials.
stepa	(geog.) steppe.
ster	(che.) queen.
sterek	(coll.) 1 strong, full-flavored (of beverages). 2 strong and healthy.
stereokopis	stereoscopic.
stereometri	geometry.
stereotip	stereotype.
steril	sterile.
sterilisasi	sterilization.
stetoskop	stethoscope.
steup	see stuip.
stewal	see setiwal.
stiker	sticker, decal.
stil	1 (sl.) stylishly dressed. 2 have a certain attitude.
stilistika	stylistics.
stimbat	(coll.) steam bath.
stimulans	stimulant, stimulus.
stimulasi	stimulation.
stip	see stuip.
stir	see setir.
stki	[surat tanda kewarganegaraan indonesia] indonesian citizenship card.
stl.	[setelah] after.
stm	[sekolah tehnik menengah] technical high school.
stnk	surat tanda nomor kendaraan] motor vehicle license.
stock	/stok/ stock, supply.
stoker	(r.r.) engineer's helper.
stoking	women's stockings.
stop	see setop 1.
stopkontak	electric socket, plug.
stoples	stoppered glass jar for storing food.
stopmap	folio-sized folder.
stor	see setor.
storemking	see stromking.
storing	radio static, disturbance.
strap	see setrap.
strat	(coll.) street.
strata	levels (in society, education).
strategi	strategy.
strategis	strategic.
stratifikasi	stratification.
stratigrafi	stratigraphy.
stratosfer	see stratosfir.
stratosfir	stratosphere.
stratum	stratum (of soil, society, etc.).
streng	(coll.) strict, severe.
streples	strapless (bra, gown, etc.).
strimin	k.o. coarsely woven fabric used for lining.
strip	see setrip 1.
striptis	(sl.) strip-tease.
stromking	/strongking/ high-pressure kerosene lantern.
stroom	/strom/ see setrum.
structuralisme	structuralism.
struktur	structure.
struktural	structural.
strukturil	see struktural.
struma	(med.) goiter.
sttb	[surat tanda tamat belajar] diploma for primary or secondary school.
studen	(coll.) student.
studi	1 study. 2 research.
studio	studio.
studium-generale	k.o. introductory general studies course.
stuip	/step/ convulsions, fits (esp. accompanying children's fevers).
stupa	stupa. dome enclosing an effigy of buddha.
su	1. see sudah. 2 see bungsu.
suai	see sesuai.
suak	1. (lit.) inlet, small bay. 2. (m) cancel. 3. see swak.
suaka	1. 1) asylum. 2) sanctuary. 2. see sewaka 1.
sual	see soal.
suam	warm. suam-suam rather warm.
suami	husband.
suang-suang	(lit.) tak-suang-suang not easy.
suangi	(lit., ambon) k.o. prowling, nocturnal evil sorcerer.
suap	1 a mouthful. 2 bribe.
suapan	1 act of eating with the hand. 2 bribe.
suar	signal light, flare.
suara	1 voice. 2 sound. 3 vote.
suarang	(m) joint property of husband and wife acquired during marriage.
suargaloka	see sorgaloka.
suari	see kasuari.
suasa	gold with large alloy mixture, pinchbeck.
suasana	1 milieu. 2 ambience, atmosphere.
suatu	a certain (unspecified).
subahat	see syubhat.
subak	(bali) water-control system.
suban	splinter, sliver of wood.
subang	ear-plugs.
subhanahu-wa-taala	1 (islam) praise be unto thee the almighty, a laudation uttered upon completion of o.'s ritual prayers or upon mentioning one of god's names. 2 (islam., coll.) lord ! exclamation of surprise.
subjek	see subyek.
subjektif	subjective.
subjektivisme	subjectivism.
subjektivitas	/subjektivitet/ subjectivity.
subkomisi	subcommission.
subkutis	subcutaneous.
sublim	sublime.
sublimasi	sublimation.
subordinasi	subordination.
subordinat	(ling.) subordinate.
subsider	1 (leg.) with the option of. 2 subsidiary, secondary.
subsidi	subsidy, subsidized.
substantif	substantive
substitusi	substitution.
substratum	(ling.) substratum.
subtil	subtle.
subtropis	subtropical.
subuh	1 dawn, daybreak. 2 (islam) the early morning prayer.
subur	1 fertile. 2 thriving, prosperous. 3 healthy.
suburban	/suburben/ k.o. automobile formerly used for interurban passenger transportation.
subversi	subversion.
subversif	subversive.
subyek	1 subject, topic of discussion. 2 (ling.) subject.
subyektif	/subyektip/ see subjektif.
subyektivisme	see subjektivisme.
suci	1 pure, purified. suci-hama sterile, aseptic. 2 holy.
suda	bamboo spikes sticking upward to form a mantrap.
sudah	1 already, as of a certain point in time. 2 past, last. 3 done, finished. 4 good-bye. 5 all right, i agree. 6 never mind, don't. sudah-nya finally. se-sudah after.
sudahnya	finally.
sudara	/sudare/ see saudara.
sudetan	1 incision. 2 waterway diversion.
sudi	1. 1) acquiesce, be agreeable. 2 please (formal). 2.(m) sudi-siasat interrogation.
sudip	k.o. used for mixing culinary ingredients.
sudit	see sodet.
sudra	(lit.) lowest hindu caste.
sudu	1 goosebeak, duckbill. 2 k.o. large spoon. 3 convex blade, (of machine, etc.).
suduk	see sodok 2.
sudung	1 hut, esp. in agricultural field. 2 polite self-deprecating term for o.'s own house.
sudut	1 corner. 2 (math.) angle. 3 direction. 4 point of fiew.
suf	wool cloth.
sufi	1 mystical, esp. related to sufism. 2 a sufic mystic.
sufiks	(ling.) suffix.
sufisme	sufism.
sufrah	floorcloth or carpet on which ceremonial meals are spread out.
sugesti	power (hypnotic, etc.) to direct another's actions.
sugestif	1 having the power to direct another's actions. 2 suggestive (of lewd dances, etc.).
sugi	1. toothpick. 2. (m) tobacco quid, esp. chewed with betel.
sugih	(java) wealthy.
suguhan	s.t. presented (e.g. food served to guests, a drama performance, etc.).
sugul	(coll.) see masygul.
sugun	(lit.) tangled, tousled (of hair).
suh	1. schoo ! (exclamation to drive away animals, esp. chickens). 2. 1) (java) broom binding (of plaited rattan, etc.). 2) a binding factor which keeps diverse elements together.
suhanura	[suara hati nurani] the voice of o.'s inner heart.
suhu	1 temperature. 2. 1) teacher of the art of self-defence. 2) (china) healer.
suhuf	(islam) scriptures inspired by god.
suikher	see seher.
suit	sound of whistling.
suitan	a whistle, whistling.
sujadah	see sajadah.
sujen	(java) skewer (for meat).
sujian	embroidery.
sujud	(islam) 1 bow from kneeling position so that forehead touches floor, a part of prayer ritual.
suka	1 happiness, joy, pleasure. 2 like, be fond of. 3 be willing, would like. 4 be apt to.
sukaan	1 sweetheart, darling. 2 favorite.
sukacita	1 happy, glad, merry. 2 joy, happiness.
sukamandi	(java) k.o. dark cotton cloth.
sukar	hard, difficult.
sukarela	voluntary.
sukarelawan	a volunteer.
sukarelawati	woman volunteer.
sukaria	1 happy. 2 delight, pleasure.
sukat	1 unit of measure of four gantang or 12.6 liters. 2 measure.
sukatan	measure.
suklih	(coll.) searchlight.
sukma	life spirit, soul.
sukses	1 success. 2 be successful.
suku	1. 1) a quarter, one-fourth. 2) a part. 3) extended family, ethnic group. 4) (biol.) family. 5) (lit.) 50 cents. 2. (java) leg. 3. (ling) syllable.
sukuisme	communalism, ethnocentricity.
sukun	1. breadfruit. 2. (java) toothless gum. 3. diacritical mark in arabic script to indicate presence of a vowel.
sukur	see syukur.
sukwan	[sukarelawan] volunteer.
sukwati	[sukarelawati] female volunteer.
sula	sharp vertical stake (for impalement or for husking coconuts). sula-an sharp stake.
sulaan	sharp stake.
sulah	(lit.) bald, hairless.
sulaiman	(bib., islam) solomon.
sulak	a (feather) duster.
sulalat	1 descent, lineage. 2 family tree.
sulam	embroidery.
sulaman	embroidery, embroidered goods.
sulang	lampblack, soot.
sulap	1. conjuring, sleight of hand. 2 (java) dazzled (as if by magic).
sulat-salit	(lit.) irregular (of teeth).
sulawesi	celebes, sulawesi.
sulbi	(anat.) the vertebrae.
sulfa	medicinal powder containing a sulfanilamide drug.
sulfur	sulphur.
sulih	(java) a substitute.
suling	1.flute. 2. suling-an 1) distillate. 2) refinery.
sulit	1 difficult, hard, complicated. 2 (lit.) secret, hidden, secluded.
sulselra	[sulawesi selatan dan tenggara] s. and south east sulawesi.
sultan	sultan.
sultanat	sultanate.
suluh	1 torch. 2 (lit.) scout, spy.
suluk	1 mysticism. 2 ( java) recitation of a wayang narrator.
sulung	oldest, first-born.
sulur	1 spiraling upward (of plants).
sulur-bulur	confused, incohernt (of speech).
suluran	climbing plant.
sulut	[sulawesi utara] north sulawesi.
sulutteng	[sulawesi utara dan tengah] north and central sulawesi.
sum.	[sumatera] sumatra.
sumang	feverish, esp. of children.
sumangat	see semangat.
sumarak	see semarak.
sumba	see kesumba.
sumbang	1. 1) incestuous. 2) illicit (esp. in sexual matters). 3) out of tune, discordant. 2. contribution.
sumbangan	contribution.
sumbangsih	contribution.
sumbar	(java) boast, brag.
sumbat	stopper, plug.
sumber	1 well. 2 source. 3 resources.
sumbi	rod used in weaving to hold edge taut.
sumbing	jagged, dented, chipped. bibir-sumbing harelip.
sumbu	1. 1) wick. 2) fuse. 2. 1) wagon axle. 2) pivot, axis. 3. horn of a rhinoceros.
sumbul	(java) k.o. basket with a lid.
sumbut	(java) in balance with the efforts or costs, worthwhile.
sumilir	see semilir.
sumir	short, brief, succinct.
sumirat	(sunda) beam, glowing.
sumpah	1 oath. 2 curse.
sumpah-sumpah	k.o. flying lizard.
sumpal	(java) stopper.
sumpalan	s.t. obstructing a passage.
sumpek	(java) 1 crowded. 2 feel stifled, have o.'s head in a whirl because of problems.
sumpel	see sumpal.
sumping	(java) k.o. ear ornament worn in classical dance.
sumpit	1. chopsticks. 2. blowpipe. 3. k.o. coarse, plaited storage bag, esp. for rice or salt.
sumpit-sumpit	k.o. coarse, plaited storage bag, esp. for rice or salt.
sumpitan	sumpitan
sumsel	[sumatera selatan] south sumatra.
sumsum	(anat.) marrow. sumsum-(tulang) belakang spinal cord.
sumteng	[sumatera tengah] central sumatra.
sumuhun-dawuhisme	mentality characterized by sycophancy.
sumur	well.
sumurung	outstanding.
sumut	[sumatera utara] north sumatra.
sun	kiss on the cheek.
sunah	see sunat2.
sunan	1. title for the holy men who first brought islam to java. 2. (java) ruler of surakarta.
sunat	1. circumcision. 2. /sunat rasul/ (islam) optional, but meritorious if performed (of pious deeds, prayers, etc.).
sunbulat	(zod.) virgo.
sunda	sundanese, the sunda area (west java).
sundai	see limau.
