elektroda	/elektrode/ (phys.) electrode.
elektrodinamika	electrodinamics.
elektrolisa	electrolysis.
elektrolit	electrolyte.
elektrolitis	electrolytic.
elektromagnit	electromagnet.
elektron	electron.
elektronik	1 electronic. 2 electronics.
elektronika	electronics.
elektronis	see elektronik.
elemen	1 element. 2 (chem.) element.
elementer	elementary.
eleng	rock (of boat).
eliminasi	meng-eliminasi-kan eliminate.
eliminir	eliminate.
eling	(java) remember (esp. in spiritualism).
elips	ellipse.
elipsis	(ling.) ellipsis.
elipsoide	elipsoid.
elit	/elite/ elite.
elitis	elitist.
elitisme	elitism.
elo	see ela.
elok	1 beautiful, lovely. 2 good.
elon	see kelon.
elpiji	(liquid propane gas) liquid propane gas.
els	(europese lagere school) k.o. elemtary school of colonial period with instruction in dutch for europeans and the indigenous elite.
eltor	(med.) eltor, k.o. cholera.
elu	see lu.
elu-elu	1. meng-elu-elu come in waves (of sound), reverberate. 2. acclaim give applause.
eluk	see luk.
elus	meng-elus stroke. elus-an a caress. 2 flattery.
em	see m 1.
email	enamel.
emak	see mak.
emam	(child language) eat.
emang	(sunda) term off address and reference for o.'s uncle.
emansipasi	emancipation.
emas	gold.
emat	1. (che.) checkmate. 2. see mat2.
embacang	k.o. mango.
embah	(java) 1 term of address and reference for o.'s grandparent. 2 term of address and reference for old person, teacher, or mystic.
embalau	shellac.
emban	1. 1) breastband, waistband, sash. 2) belly band (for horses). 2. meng-emban 1) carry out, execute, perform. 2) support. 3.nursemaid.
embara	roam, rove wander.
embarau	1 palisade, wood or stone embankment. 2 piling (of pier, etc.).
embargo	embargo.
embarkasi	embarkation.
embat	lash s.o. down with strip of bamboo, rope, etc.
embek	see embik.
embel	(jakarta) swamp covered with plant growth.
embel-embel	1 details. 2 insignificant addition, supplement. 3 side issue of little importance.
ember	pail, bucket.
embi	(jakarta, sunda) term of address for o.'s aunt.
embik	1 a bleat. 2 sheep, goat.
embok	see mbok 2.
embol	meng-embol swell, puff up.
embrat	see emrat.
embrio	(biol.) embryo, fetus.
embriologi	(biol.) embryology.
embun	1 dew. 2 condensed vapor. 3 haze.
embus	1. aspirate. 2. scoot ! go away !
embusan	1 bellows. 2 blowing, blast (of wind). 3 (ling.) aspiration. 4 suggestion.
embut	move up and down (i.e. of the chest of sleeping person).
emigran	emigrant.
emigrasi	emigration.
emik	(child language) drink.
emirat	emirate.
emis	see kemis 1.
emisi	1 issue (of banknote, security, stock, etc.). 2 emission (of semen, light, etc.).
emiter	o. who issues a security or banknote.
emoh	(java) be unwilling.
emolumen	emolument, perquisite.
emong	meng-emong 1 care for, look after. 2 direct an enterprise.
emosi	1 emotion. 2 emotional. 3 be emotional.
emosional	/emosionil/ emotional.
empal	(java) spiced and fried chunks of beef.
empang	1 (fish)pond. 2 embankment. 3 dam.
empap	ber-empap gamble by tossing a coin. meng-empap strike with heavy or flat object (oar, palm of hand, etc.).
empar	meng-empar drift off, be off course (of ship, etc.).
empas	meng-empas be tossed, dashed against, throw o.s. down.
empat	four.
empe-empe	see empek-empek.
empe-empek	k.o. fishcake (s. sumatra specialty).
empedal	gizzards.
empedu	gall, bile.
empek	1 (china) term of address and reference for o,'s parent's older brother or brother-in-law. 2 (coll.) ter of address for old china man.
empelas	see amplas 1,2.
empelop	see amplop.
empenak	meng-empenak 1 spoil, coodle, pamper. 2 (friendly) persuasion, prais, flattery.
empeng	see emping.
emper	/emperan/ 1 veranda, porch. 2 overhang, awning.
empet	(jakarta) annoyed, angry.
empet-empet	paper trumpet, ballon with a whistle.
empeyek	cracker made of dried fish or other viand fried rice flour.
empik	(java) eager, want to.
emping	1 chips made of pounded new rice toasted and served with palm sugar. 2 fried chips made of gnetum gnemon fruit.
empiris	empirical.
empirisisme	/empirisme/ empiricism.
emplasemen	1 (mil.) emplacement. 2 (r.r.) railway yard.
emplek	1 (java) sheer, layer. 2 (coll.) classifier for sheet of mosquito coils.
empoh	rise, overflow (of water). meng-empoh-i inundate, flood.
empok	(jakarta) 1 term address and reference for o.'s older sister. 2 term of address to lower class women.
empon-empon	(java) spices.
empos	1 breathe, blow on. 2 expose fruit to smoke to speed up ripening process.
empu	1 (lit.) master craftsman. 2 armorer. 3 master.
empuk	1 soft (mattress, etc.). 2 tender, well-done (of food). 3 easy to defeat or cheat. 4 well-worn (of cloth). 5 soft and pleasant (of voice, sounds).
empul	meng-empul bob up and down (of boat, etc.).
empulur	pith or soft core of palm tree.
empunya	owner.
emrat	(jakarta) large watering can.
emulsi	emulsion.
emut	ng-emut have in o.'s mouth, such.
en	(coll.) and.
enak	1 nice, tasty, delicious. 2 nice, pleasant. 3 well.
enam	six.
enap	1. ponder, consider deeply, give a great deal of thought to. 2. see endap 1.
enau	sugar palm.
encek	1. (java) stand on s.t. 2. see encik.
enceng	see eceng.
encer	see incar.
