padri	see paderi.
parisadha-hindu-dharma-pusat	highest administrative council of the hindu-bali religion.
parit	1 moat, ditch, trench. 2 furrow, slit, groove.
paritas	parity.
pariter	having to do with a parity.
pariwara	advertisement.
pariwisata	1 tourism. 2 a tour. ber-pariwisata make a trip.
pariwisatawan	tourist.
parji	see farji.
parket	parquet.
parkindo	[partai kristen indonesia] indonesian christian party.
parkir	1 be parked. 2 be placed s.w. for a period of time.
parkiran	parking place.
parkit	parakeet.
parlemen	parliament.
parlementer	parliamentary.
parlementerisme	parliamentarism
parlente	1. (ambon) liar. 2. see perlente.
parmasi	see farmasi.
parmusi	[partai muslim indonesia] indonesian muslim party.
paro,paroh	half. se-paroh half, a part.
paroki	(rel.) parish.
paron	anvil.
parpol	[partai politik] political parties.
parpostel	[pariwisata, pos, dan telekomunikasi] tourism, postal, dan telecommunications department.
parsi	persia(n).
parsial,parsiil.	partial (not complete).
partai	1. (pol.) party. 2. 1) (sport) event. 2) a quantity of.
partikel	(ling.) particle, function word.
partikelir	private.
partisipasi	participation.
partitur	musical score.
partner	partner.
partus	(med.) delivery.
paru-paru	lungs. paru-paru-basah pleurisy.
paruh	1. beak. 2 see paro.
parun	burn bushes or weeds to clear.
parut	1 rasp, file. 2 scrape, grate. 3 scraper or grater.
parutan	1 board for scraping or grating. 2 s.t. scraped.
parvinu	parvenu, nouveau riche.
parwa	chapter of the mahabharata.
pas	1. 1) fit, be the right size. 2) exact, exactly. 3) axactly at. 2. pass, document. 3. (bri.) pass.
pasah	(islam) divorce granted by religious court at wife's request.
pasahan	shavings, excelsior.
pasak	1 pin, peg, dowel. 2 bolt. 3 pivot, axis. 4 turning point.
pasal	1 paragraph, section. 2 (leg.) article. 3 concerning, regarding, about.
pasamuan-suci	the catholic community.
pasang	1. pair, set. 2. 1) show off. 2) pose, be on o.'s best behavior. 3. rise (of tide).
pasang-aksi	1 show off. 2 pose, be on o.'s best behavior.
pasanggrahan	resthouse for travelers.
pasar	market.
pasara	see pusara 1. 1) cemetery 2) grave 2 reins .
pasaran	1 market. 2 (java) five-day week. 3 hold a market, be market day. 4 of market quality, not of good enough quality to be sold in a specialty store.
pasarean	(java) cemetery, grave.
pasasi	fare (on a bus, atc.)
pasasir	passenger.
pasca	/paska, pasca/ pasca-sarjana postgraduate work. pasca-panen time after rice harvest.
paseban	(java) audience hall.
paseh	see fasih.
paser	(tech.) compass to measure distance or describe a circle.
pasfoto	photo of passport size.
pasi	very pale.
pasibraka	[pasukan pengibar bendera pusaka] group of model high school students recruited to raise. national flag on independence day.
pasien	medical patient.
pasif	passive.
pasifik	the pacific.
pasifikasi	pacification.
pasih	see fasih.
pasik	1 criminal, bad. 2 crazy. ke-pasik-an sin.
pasilan	1 tree epiphyte. 2 (coll.) freeloader, parasite.
pasilitas	see fasilita.
pasip	see pasif.
pasir	1 sand. 2 beach or place covered with sand. pasir-an sandy.
pasirah	(s. sumatra) village chief.
pasisir	see pesisir 1, pasasir.
paska	/paskah/ easter.
paska-sarjana	see pasca.
pasmen	lace.
paso	see pasu.
pasok	supply (a certain commodity).
paspal	[ilmu pasti dan pengetahuan alam] (acad.) mathematics and natural sciences.
paspor	passport.
pasrah	submit to o.'s fate.
passi	passion.
passiva	liabilities.
pasta	paste. pasta-gigi toothpaste.
pastei	pate.
pastel	meat-filled turnover.
pasti	definite, certain. .
pastiles	lozenges.
pastir	memp-pastir pasteurize.
pastor	/pastur/ catholic priest.
pastoral	pastoral.
pastoran	pastoran
pastori	parish house.
pasu	bowl, basin.
pasukan	1 (mil.) troops. 2 group. 3 formation.
pasundan	sundanese area.
pasung	prisoner's stocks.
pat	(golf) putt.
pat-gulipat	/patpat gulipat/ 1 shady deal. 2 (love) affair.
patah	broken.
patahan	1 facture. 2 broken fragment. 3 (geol.) fault.
pataka	standard, banner.
patal	[pabrik pemintalan] spinning factory.
patas	[cepat terbatas] fast semi-express bus or train.
patatas	[ambon) yams.
patek	frambesia, yaws.
paten	1 patent. 2 (sl.) admirable, tops.
pater	(rel.) priest.
pateri	see patri.
paternalisme	paternalism.
paternalistis	paternalistic.
pateroli	see patroli.
pati	1. 1) starch. 2 core, essence. 2. [perwira tinggi] (mil.) high-ranking officer.
patih	1. 1) governor. 2) vice regent, chief minister to a king. 2. meek, submissive, docile.
patihah	see alfatihah.
patik	1 slave. 2 (lit.) i, me (very humble).
patil	1 pole, shaft. 2 small adze. 3 stinger of a fish.
patok	pole, stake.
patokan	1 pole. 2 directive, standars, criterion. 3 postulate.
patologi	pathology.
patologik	/patologis/ pathologic.
patri	solder.
patriot	patriot.
patriotik	patriotic.
patriotis	patriotic.
patriotisme	patriotism.
patroli	patrol.
patrum	cartridge.
patrun	1. cartridge. 2. (dress) pattern.
patuh	obedient, submissive.
patuk	1 peck, bite. 2 grab with the beak. 3 manage to achieve s.t.
patukan	bill, beak.
patung	1. 1) image, statue. 2) sculpture. 2. chip in together to pay for s.t.
patungan	joint venture.
patus	drain.
patut	1 proper, fitting, decent, in line. 2 should, ought to.
pauh	(lit.) mango.
pauhi	(china) abalone.
pauk	1. hook. 2. see lauk.
paus	1. (rel.) pope. ke-paus-an papacy. 2. see ikan.
pause	(thea.) intermission, entr'acte.
paut	closely joined.
pauze	see pause.
pav.	[pavilyun]
pavilyun	annex, portion (us. an extension) of home set aside as unit for rent.
pawai	parade.
pawaka	(lit.) fire.
pawana	(lit.) wind.
pawang	1 o. endowed with magic powers. 2 o. with a special skill. 3 animal tamer.
pawiyatan	school, training center.
paya	swamp, marsh.
payah	1 tired. 2 difficult, troublesome. 3 finding. s.t. troublesome.
payang	1. large net. support s.o. in walking.
payar	cruise back and forth.
payau	1 brackish. 2 salty, briny.
payit	see palit 1.
payon	shed, lean-to.
payu	(java) in demand, sought after.
payudara	(lit.) (female) breast.
payung	1 umbrella. 2 parachute.
pb	[pengurus besar] executive board.
pbb	[perserikatan bangsa-bangsa] united nations.
pbe	[pasaran bersama eropah] european common market.
pbf	[pedagang besar farmasi] major pharmaceutical supplier.
pbh	[pemberantasan buta huruf] literacy campaign.
pc.	[pour condoleance] legend written on cards expressing condolences.
pd	1. [perang dunia] world war. 2. [pejabat] acting. 3. [pendidikan jasmani] physical education. 4. [perusahaan dagang] trading company.
pd&k	[(departmen) pendidikan dasar dan kebudayaan] department of basic education and culture.
pdam	[perusahaan daerah air minum] municipal waterworks.
pdank	[pendidikan dan kebudayaan] department of education and culture.
pdi	[partai demokrasi indonesia] indonesian democratic party.
pdn	[perusahaan dagang negara] state commercial enterprise.
pdt.	[pendeta] (rel.) minister.
peang	1 flat (of head). 2 (jakarta) worn off.
pebean	/pebian/ see pabean.
pebila	see apabila.
pebruari	february.
pecah	1 broken, smashed. 2 be divided (in opnion). 3 crockery.
pecahan	1 piece, frament, splinter. 2 fraction.. 3 utensils made of glass or porcelain. 4 s.t. broken up on s.t. else.
pecai	vegetable similar to mustard greens.
pecak	1 damaged, dented, flat. 2 blind in o. eye.
pecal	1. squeeze, massage. 2. see pecel.
pecat	fired, dischaged.
peceklik	see paceklik.
pecel	salad made of blanched vegetables served with peanut sauce.
peci	see pici.
pecik	arise.
pecinan	(coll.) chinatown.
pecok	1. dented. 2. (java) axe.
pecomberan	see comberan.
pecun	see pekcun.
pecundang	be beaten (in a contest).
pecut	whip.
peda	fish preserved in wet salt.
pedadah	chest (of medicine, cosmetics).
pedagang	see dagang 2.
pedagog	pedagogue.
pedagogi	/pedagogik/ pedagogy.
pedagogis	pedagogical.
pedah	see faedah.
pedal	pedal.
pedalaman	see dalam.
pedanda	balinese priest.
pedang	sword.
pedar	rancid.
pedas	1 hot, highly seasoned and spiced. 2 severe, biting.
pedat	see padat.
pedati	horse-drawn cart.
pedato	see pidato.
pede	see pd3.
pedel	marshall, leader of an academic procession. /pe`de`l/ (jakarta) flat.
pedengan	1 screen, cover. 2 pseudonym. 3 hypocrisy.
pedes	see pedas.
pedet	(java) calf, heifer.
pediatri	/pediatrik/ (med.) pediatrics.
pediatris	pediatrician.
pedih	1 smarting. 2 poignant.
pedis	1. pedas. 2. see pedih.
pedit	see medit.
pedoman	1 compass. 2 orientation. 3 manual, directive. 4 catalog, bulletin of a university.
pedot	(java) broken off, in two.
pedu	see empedu.
peduli	1 pay attention, care about. 2 i do not care.
pedulian	indifferent.
pedupan	see dupa.
pedusi	(m) woman, female.
pedut	1. sticky rice. 2 (java) mist, fog.
peduta	see duta.
peer	see pr 2.
peg.	1. [pegunungan] mountains. 2. [pegawai] employee.
pegagan	vine with edible leaves, often planted on sides of rice field bunds to prevent erosion..
pegal	1 stiff, painful (of muscles after overuse). 2 weary, weariness. 3 annoyed, vexed, fed up.
pegang	hold on.
pegar	pheasant.
pegari	visible.
pegas	1 spring. 2 carpet beater. 3 pedal in car. 4 brake.
pegat	mem-pegat 1 stop, block. 2 intercept, interrupt. 3 divorce, break off engagement with.
pegawai	1 official, gvt. employee. 2 employee, worker.
pegel	see pegal.
pegepe	see pgp.
