menguntir	twist.
mentafahus	1 search s.t. 2 examine s.t.
mentah	1 unripe, raw, uncooked. 2 incomplete, unfinished. 3 raw, unrefined.
mentahbiskan	consecrate, ordain.
mentahkikkan	(lit.) verify.
mentajaki	work soil or chop down weeds with such a tool.
mentajin	1 feed rice water (to an infant). 2 starch o.'s clothes.
mentajinkan	make rice water or starch out of s.t.
mentajong	strike (with the arm).
mentajuk	1 protrude. 2 prominent, well known.
mentajukkan	make s.t. into an editorial..
mentak	(jakarta) probable. ke-mentak-an probability.
mentakak	sew two ends of sarong together (to yield tube shape).
mentakdirkan	predestine, preordain
mentakhlikkan	create (of god).
mentakhtakan	crown, enthrone.
mentakik	1 make incisions to extract sap. 2 notch s.t.
mentaklik	read diligently, peruse carefully.
mentakrifkan	define.
mentakuk	cut a notch, incision.
mentakukkan	fix, determine.
mentakung	1 let s.t. settle. 2 cause liquid to accumulate.
mentakup	close itself together firmly.
mentakupkan	close s.t. (two symmetrical things) together firmly.
mentakzimkan	respect or esteem s.o.
mental	1 bounce off, rebound. 2 be launched (of a vessel). 3 uninjured. /me`ntal/ way of thinking.
mentalisme	mentalism.
mentalitas	/mentalitet/ mentality.
mentalkinkan	whispher instructions in the ear of the dead or dying.
mentamsilkan	1 compare. 2 relate in a parable or analogous manner.
mentamyizkan	discern.
mentan	[menteri pertanian] minister of agriculture.
mentanang	carry s.t. with the hands underneath it.
mentandangi	visit.
mentang	mentang-pun although. (se)-mentang-mentang, mentang-kan just because.
mentanting	carry in the palms of the hands.
mentargetkan	aim for s.t., target s.t.
mentari	see matahari.
mentasbehkan	extol god.
mentasdikkan	verify.
mentasrifkan	conjugate.
mentatui	injure.
mentauhidkan	1 acknowlege god's o.ness. 2 concentrate on s.t.
mentawuri	attack in a group.
mente	cashew.
mentega	1 butter. 2 margarine.
mentek	k.o. plant disease.
mentelaah	analyze, study carefully.
menteledorkan	neglect, be careless about.
mentenarkan	make s.o. well known.
menteng	elite section of jakarta. menteng-menteng-an in the mode of s.o. or s.t. from this area.
mententeramkan	1 pacify. 2 reassure, calm.
menteorikan	theorize about s.t.
mentera	see mantera.
mentereng	1 dressed up. 2 luxurious, magnificent.
menteri	1 cabinet minister. 2 (che.) bishop. ke-menteri-an ministry, department.
menterjemahkan	translate.
menterlantarkan	1) cause s.t. 2) pass on (a suggestion, etc.).
menternakkan	breed animals.
menteror	terrorize.
mentertawakan	laugh at.
mentertibkan	1 straighten up, put in order. 2 control, curb.
menterutamakan	consider as most important, give the highest priority to.
menteter	hit repeatedly.
mentilawatilkan	recite (koran) in a competition.
mentimun	cucumber.
mentintai	apply ink to s.t.
mentip-ex	apply white-out to s.t.
mentiriskan	1 cause to leak through. 2 drain.
mentiup-tiup	blow a problem out of proportion.
mentobatkan	cause s.o. to repent and change behavior.
mentok	(java) breast of chicken. /me`ntok/ (java) duck.
mentol	menthol.
mentoleransikan	tolerate.
mentolerir	tolerate.
mentololkan	consider s.o. a fool, make a fool of.
mentonilkan	1 act, perform. 2 dramatize, put into a play.
mentopikkan	use as a topic.
mentorpedir	torpedo s.t.
mentorpedo	torpedo s.t.
mentotalkan	add s.t. up, total s.t.
mentotolkan	cause s.t. to splatter on s.t.
mentour-of-dutykan	transfer s.o. to another post.
mentoyor	(jakarta) strike, punch.
mentraktir	treat s.o.
mentraktori	do work with a tractor.
mentrampilkan	train s.o.
mentransformasikan	tansform.
mentranskripsikan	transcribe.
mentransliterasi	transliterate.
mentransmigrasikan	resettle s.o.
mentransmutasi	transmute.
mentrase	trace.
mentrasir	trace.
mentrindili	(jakarta) rob s.o.
mentrompetkan	trumpet out s.t. (a song, etc.).
mentrondoli	defeat s.o.
mentua	see mertua.
mentuas	lever s.t. up.
mentuba	spread this poison in a pond.
mentubai	poison fish, etc. with such a poison.
mentujah	(lit.) stab downward.
mentukul	hammer.
mentul-mentul	springy.
mentunangi	take s.o. as o.'s betrothed.
mentunangkan	affiance.
mentunasi	prune.
mentunu	roast a fire.
mentunukan	roast for s.o.
menturbakan	cause close contact with the people.
menturis	make a notch or scratch.
mentuter	blow a horn.
mentutul-tutulkan	dab on.
menu	1 diet, what o. eats at a certain meal. 2 what is served at a party.
menua	1 become old. 2 ripen, come to head.
menuai	1 harvest rice by cutting each stalk individually close to the ear with such a reaping knife. 2 reap.
menuakan	menuakan
menuam	be treated with a hot compress.
menuami	apply a hot compress on s.t.
menuang	pour s.t. liquid.
menuangi	pour into s.t.
menuangkan	1 pour s.t. out. 2 cause to pour forth. 3 mold, cast.
menubir	deep, steep.
menubiri	trace the edge of s.t. precipitous.
menubruk	1 lunge at s.o. 2 collide with, run into. 3 run over, hit s.o.
menubrukkan	make s.t. crash into.
menuding	1 point at s.t. 2 accuse.
menudingi	point at repeatedly.
menudingkan	1. make s.t. slant. 2. point with s.t.
menuduh	accuse s.o.
menuduhkan	accuse of, charge with s.t.
menudungi	cover s.t. up carefully, repeatedly shade s.t.
menudungkan	use s.t. for a cover or shade.
menugal	dibble with a pointed stick in order to sow seeds.
menugalkan	sow seeds in this way.
menugasi	give an assignment to.
menugaskan	1 assign s.t. as a task. 2 assign, place s.o. in an assignment.
menuhankan	consider as a god, deify.
menuil	level s.t. up.
menuju	1 go in the direction of. 2 aim, strive. 3 concern, aim (accusation, etc.) at. 4 (lit.) practice a k.o. sorcery on s.o.
menujukan	1 point with s.t. 2 cause s.t. to point in a direction.
menukak	fester.
menukangi	1 craft s.t. 2 repair s.t.
menukar	1 change. 2 exchange, barter.
menukarkan	give s.t. in exchange.
menukas	1. columniate. 2 say in repetition.
menukik	1. dive. 2. make a notch.
menukiki	dive at.
menukikkan	1 let dive, point s.t. downward. 2 point s.t. at, direct s.t. to.
menulahi	curse s.o. or s.t.
menular	1 infect, contaminate. 2 spread.
menulari	spread to s.o. or s.t.
menulikan	make deaf.
menulis	1 write. 2 draw.
menulisi	1 write on s.t. 2 doodle on s.t., jot graffiti on s.t.
menuliskan	1 write s.t. down. write with s.t.
menulup	blow with a pipe.
menumbangkan	1 cause to come crashing down. 2 slaughter (cattle, etc.).
menumbuhi	sprout up over s.t.
menumbuhkan	1 make s.t. grow. 2 cause to emerge or sprout up.
menumbuk	1 pound,crush. 2 strike, deliver a blow to. 3 crash into. 4 let the eyes alight on s.t.
menumbukkan	1 pound with s.t., beat s.t. against. 2 crush for s.o.
menumis	saute at high temperatures.
menumpahi	spill on s.t.
menumpahkan	1 cause s.t. to spill. 2 spill s.t. out, concentrate s.t.
menumpang	1 ride in, go by. 2 join in, go along with use s.t. belonging to s.o. else. 3 stay with. 4 please, may i, (particle preceding polite queries).
menumpangkan	1 cause s.o. or s.t to go with, cause s.o. to be a passenger. 2 cause s.o. to stay with.
menumpas	1 destroy, eradicate. 2 extinguish.
menumpaskan	1 destroy s.t. or s.o.'s behalf. 2 destroy, exterminate.
menumpatkan	cram s.t., stuff s.t.
menumpil	prop up.
menumpu	1 become concentrated. 2 support, sustain.
menumpuk	1 pile up, accumulate. 2 pile s.t. up.
menumpukan	1 lean with s.t., lean s.t on to. 2 provide suppport for s.t. or s.o. 3 cause s.t. to rest. 4 concentrate.
menumpuki	pile up on top of s.t.
menumpukkan	1 pile s.t. up. 2 hoard, accumulate.
menumpul	1 become blunt. 2 become stupid.
menumpulkan	blunt s.t.
menumpurkan	destroy.
menunaikan	1 fulfill, carry out. 2 cash.
menunda	tow.
menundakan	1 postpone, delay. 2 adjourn.
menunduk	bow.
menunduk-nunduk	bow repeatedly, humble o.s
menunduki	bow over s.t.
menundukkan	1 cause s.o. or s.t. to bow. 2 cause s.o. to submit.
menundung	expel, exile.
