speed	kb. 1 kecepatan. 2 persneling. 3 sl.: amphetamine, penggiat jalannya darah (drug). -kkt. (sped) 1 mempercepat (the work). 2 mengirim dengan cepat (reinforcements). -speeding kb. melampaui batas kecepatan.
speedboat	kb. perahu motor cepat.
speeder	kb. pelanggar batas kecepatan.
speedometer	kb. pengukur cepat, meteran kecepatan.
speedster	kb. 1 pelanggar batas kecepatan. 2 pelari cepat. 3 kendaraan cepat, kapal cepat dsb.
speedway	kb. 1 gelanggang balapan mobil. 2 jalan raya untuk lalulintas cepat.
speedy	ks. cepat. s. delivery pengantaran yang cepat. to make a s. recovery sembuh dengan cepat. -speedily kk. dengan cepat.
spell	kb. 1 musim, masa sakit. dry s. musim/masa kering. 2 serangan. 3 pesona, jampi, mantera (sihir). -kkt. (spelled atau spelt) 1 mengeja. 2 menggantikan. 3 berarti. -spelling kb. ejaan. s. book buku ejaan. s. pronunciation ucapan menurut ejaan.
spellbinder	kb. pembicaa yang dapat memikat hati pendengar-pendengarnya.
spellbound	ks. terpesona. to be held s. by terpesona oleh.
speller	kb. 1 pengeja. 2 buku ejaan.
spelt	lih spell.
spend	kkt. (spent) 1 mengeluarkan, membelanjakan (money). 2 menghabiskan. 3 melewatkan (the week end). 4 membuang-buang. 5 tinggal. 6 mempergunakan. -kki. mengeluarkan uang. -spent ks. 1 habis tenaga. 2 yang dipakai. -spending kb. pengeluaran.
spender	kb. pemboros.
spendthrift	kb. pemboros
spent	lih spend.
sperm	kb. air mani, sperma. s. bank lumbung benih.
spew	kkt., kki. to s. forth memuntahkan.
sphere	kb. 1 bola, bulatan,. 2 bidang, lingkungan. s. of influence lingkungan pengaruh.
spherical	ks. 1 berbentuk bola. 2 yang berhubungan dengan bola.
sphinx	kb. patung raksasa dari zaman mesir kuno.
spice	kb. rempah-rempah, bumbu. -kkt. membumbui, membubuhi rempah-rempah. -spiced ks. dibumbui. s. meat daging yang dibumbui.
spiciness	kb. 1 kepedasan, pedasnya. 2 kesedapan. 3 kehangatan (of a story).
spick-and-span	ks. rapi dan bersih.
spicy	ks. 1 pedas (food). 2 kurang senonoh, agak cabul (story).
spider	kb. laba-laba. s. web jaring laba-laba.
spied	lih spy.
spiel	kb. sl.: kata olok-olok. -kkt. to s. off menyebut dengan lancar (names).
spies	lih spy.
spigot	kb. keran, klep.
spike	kb. paku besar. s. heal tumit tajam. -spikes j. 1 memaku (boards together). 2 menghentikan (a rumor, escape). 3 inf.: membubuhi alkohol (a drink).
spill	kb. jatuh (jungkir-balik). -kkt. (spilled atau spilt) menumpahkan (a drink, blood). -kki. meluap, tertumpah.
spilt	lih spill.
spin	kb. putaran, kisaran. 2 auto.: perjalanan keliling dengan mobil. -kkt. (spun) 1 memutar, memusingkan (a top). 2 memintal (cloth). 3 membuat (a web). -kki. 1 berputar (of a top). 2 pusing. -spinning kb. pemintalan.
spinal	kb. med.: suntikan pelali dalam sum-sum belakang. -ks. mengenai tulang belakang. s. column tulang belakang. s. cord urat saraf tulang belakang.
spindle	kb. gelendong, kumparan. spindle-legged ks. berkaki panjang dan kurus.
