glos	(ling.) gloss.
hadlir	see hadir.
hadlirat	see hadirat.
hadlirin	see hadirin.
hadrah	1 (islam) communal gathering, us. mystical, sometimes including group chanting with tambourine accompaniment. 2 tambourine.
hadrat	1 ( islam) religious gathering. 2 presence.
hafal	1 know by heart, memories. 2 know s.t. very well.
hafalan	material to be memorized.
hah	see ha 2.
haha	sound of loughter.
hai	1 hey ! (exclamation to call s.o.'s attention). 2 what ! (exclamation of surprise).
hai-alai	see hailai.
haid	menstruation.
haik	charge ! (exclamation shouted when attacking).
hailai	(sport) jai alai.
hairan	see heran.
haisom	(china) k.o. dish made of sea cucumber.
haiwan	see hewan.
haiyaa	(china) 1 greetings ! 2 exclamation of disapproval.
haj	(islam) pilgrimage to mecca.
hajar	meng-hajar beat up, thrash soundly. hajar-an beating, thrashing.
hajat	1 wish, desire. 2 intent, intention. 3 (euphemism) urination or defecation.
haji	(islam) 1 o. who has made the pilgrimage to mecca. 2 title and term of address for such a pilgrim.
hajing	see hacih.
hajjah	see hajjah.
hak	1.1) right. 2) rightful authority. 2. heel (of shoe). 3. knit.
hakekat,hakikat	1 truth, reality. 2 essence.
hakiki	true, real, authentic.
hakim	judge. meng-hakim-i pass judgment on, judge s.t. departmen-kehakiman ministry of justice.
hakjing	see hacih.
hakul-yakin	(lit.) be truly convinced of s.t.
hal	1. 1) matter, thing. 2) case. 3) concerning. 2. galvanized sheet iron.
hal.	[halaman] page of book.
hala	direction.
halai-balai	1 ignored, neglected. 2 in confusion.
halal	1 (islam) allowed, permitted. 2. rightfull, legal.
halal-bihalal,halal-bilhalal	1 (islam) ask and give forgiveness at the end of the fasting period. 2 a gathering of social group (workers at same office, people of same ethnic origin, etc.) soon after islam fasting month for such a purpose.
halaman	1 yard (of a house). 2 premises. 3 page (of book).
halang	1. ber-halang-an be hindered, handicapped. 2. see alang 1.
halangan	hindrance, obstacle.
halat	1. see helah. 2. see alat 2.
halau	expel s.o.
halia	ginger.
halilintar	1 flash of lightning. 2 thunderbolt.
halimbubu	whirlwind.
halimun	mist, fog.
halintar	see halilintar.
halipan	see lipan.
halkum	adam's apple.
halma	chinese checkers.
halo	hello.
halsduk	neck scarf.
halte	stopping place for public vehicles.
halter	dumbbell, bar bell.
haluan	1 (naut.) bow, prow. 2 direction. 3 foremost section. se-haluan of the same course.
halus	1 refined, cultured, sensitive. 2 soft, delicate, smooth (of skin, cloth, etc.) 3 unseen (of spirits). 4 small. 5 finely pounded or granulated of flour, etc.).
halusinasi	hallucination.
halwa	fruits preserved in sugar.
ham	ham.
hama	1 plant disease, pest. 2 infection. 3 pest, scourge. meng-hama-kan contaminate.
hamal	(zod.) aries.
hamba	1 slave, servant. 2 (lit.) i, esp. when talking to s.o. of higher rank, often in formal prayers. 3 (lit) yes.
hambalang	a great deal of violence (esp. in reference to martial art films).
hambar	1 tasteless, flat, insipid. 2 vapid, trite.
hambat	checked, blocked.
hambatan	1 obstacle, obstruction. 2 barrier, fence, wall. 3 (ling.) closure.
hambung	see ambung.
hambur	jump.
hamburger	k.o. sandwich, served with sauces in sliced bun.
hambus	see embus 1.
hamenworst	/hamemwors/ luncheon meat.
hamil	pregnant, pregnancy. meng-i, meng-kan impregnate, make pregnant.
haminte	see geminte.
hamis	see amis.
hampa	1 empty. 2 without result.
hampai	see ampai 1.
hampar	1 spread (rug, etc.). 2 explain, elucidate.
hamparan	1 rug, carpet. 2 spread out area.
hampedal	see empedal.
hampedu	see empedu.
hampir	1 near, close. 2 almost. hampir-an vicinity, neighborhood.
hampiran	vicinity, neighborhood.
hamud	acid.
hamun	ber-hamun-hamun rail at, be abusive.
hamzah	letter of arabic alphabet representing glottal stop.
hana	1 wide and uninhabited. 2 empty, deserted
hanacaraka	the java, sunda, or madurese syllabary.
hancing	stench, foul odor.
hancur	1 shattered, smashed. 2 dissolved.
handai	friend, companion.
handal	see andal.
handikap	(sport) handicap.
handuk	towel.
hang	(lit.) male title.
hangar	see hanggar 1.
hangat	warm.
hanggar	1. 1) airplain hangar. 2) sports hall. 2. see anggar 2, anggar 3.
hangit	see angit.
hangus	1 burnt, scorched. 2 singed. 3 (coll.) completely used up (of money).
hanjut	meng-hanjut hit s.o., crush s.o.
hankam	[pertahanan dan keamanan] defense and security.
hanra	[pertahanan rakyat] lower level civilian defense units.
hansip	[pertahanan sipil] civilian defense units often given neighborhood patrol tasks.
hansop	child's play- and sleepwear with short sleeves and short legs.
hantam	1 fight, scuffle. 2 collide with. 3 infringe on.
hantaman	blow, smack, punch.
hantar	see antar 1.
hantir	meng-hantir wield, manage, handle.
hantu	1 ghost. 2 evil spirit.
hanuman	(lit.) the white monkey, sacred hero of the ramayana.
hanya	1 only. 2 only, however.
hanyir	see anyir.
hanyut	1 washed away, drift. 2 drift, wander. 3 lose o.s. (in reveries, etc.).
hao	(china) filial piety.
hapak	see apak.
hapal	see hafal.
hapermot	see havermut.
hapus	1 completely remove. 2 clean s.t., wipe off (blackboard).
harafiah	see harfiah.
harakah,harakat	wowel (in arabic grammar).
harakiri	(japanese) suicide.
haral	see aral.
haram	1 (islam) forbidden, proscribed. 2 (coll.) on no account, under no circumstances. 3 never ! (an exclamation of strong denial).
haramjadah	/haramzadah/ illegitimate (child).
harangaso	(sunda) k.o. tuber.
harap	(lit.) war.
harapiah	see harfiah.
harasia	(sl.) see rahasia.
harbor,hardbord	beaverboard, hardboard.
hardik	say s.t. sharply, snarl.
hardikan	rebuke,scolding, harsh words.
harfiah	literal, word for word.
harga	price, cost, value.
hari	day. se-hari-hari every day.
harian	1 daily. 2 daily newspaper.
haribaan	lap.
harim	wife, female members of the family (esp. among those of arabic descent or educational background).
harimau	tiger.
haring	1. herring. 2. see aring 1,2.
harini	(coll.) today.
harkah,harkat	1 level, standard. 2 rate, value. 3 dignity.
harlah	[hari lahir] inniversary, birthday.
harmoni	harmony.
harmonik	see harmonis.
harmonika	harmonica.
harmonis	1 harmonious. 2 harmonic.
harmonisasi	harmonization.
harmonium	harmonium.
harpa	harp.
harpis	harpist.
harpus	resin used by violinists.
hart	(crd.) heart.
harta	property, wealth.
hartawan	wealthy person, person of means.
haru	haru-biru commotion, uproar, tumult. ter-haru moved, touched, affected. ke-haru-an emotional.
haru-biru	see haru.
haruan	k.o. freshwater fish.
harum	1 fragnant, aromatic. 2 fragnance, aroma.
harun	(bib.) aaron. 2 (islam) o. of the prophets.
harung	see arung.
harus	1 have to, must. 2 (islam) permitted by religion, neither sinful nor meritorious, e.g. eating, bathing, etc.
has	1. filet, tenderloin. 2. gauze, fine screening.
hasa	(ambon) sail along the shore.
hasad	envy, spite.
hasan	good, beautiful, handsome.
hasiat	see khasiat.
hasil	1 yield, crop. 2 product. 3 result, outcome, output. success
hasrat	1 longing, desir. 2 propensity. berhasrat 1 desire, wish.
hassan	see hasan.
hasta	cubic. meng-cubic measure in cubics.
hastakarya	1 handicrafts. 2 (sl.) petting.
hasud	see hasad.
hasung	see asung.
hasut	incite, goad, stir up.
hasutan	1 instigation, provocation, fomentation. 2 agitation (for civil rights, etc.).
hasyiah	1 edge, border. 2 marginal annotation.
hasyis	hashish.
hati	1 liver. 2 seat of emotions. 3 (crd.) heart.
hatsil	see hasil.
hatta	(lit.) then, thereupon.
hatur	see atur 2.
haus	1. 1) thirsty. 2) thirst, thirstiness. 2. see aus.
havermut	oatmeal.
hawa	1 air. 2 climate, weather. meng-hawa evaporate.
hawa-nafsu	carnal desire, lust.
hawai,hawaian	hawaiian-style music.
hawar	blight.
hawatir	see kuatir.
hawe	see awe.
hawiah	(islam., lit.) depths of hell.
hayal	see khayal.
hayali	see khayali.
hayat	life.
hayati	biological, vital.
hayo	1 come ! (in exhortations). 2 behold! there you have it !
hayun	see ayun.
hb	/habe/ k.o. pencil.
hb.	[hari bulan] (lit.) date.
hbs	[hoogere burger school] four-year secondary school for children of the elite (colonial period).
hc.	[honoris causa] honorary.
hcs	[hollandsh-chineesche school] dutch-medium primary school for well-to-do ch [colonial period].
he	1. huh (interrogative particle). 2. umm (hesitation particle). 3. see hai.
heban	(lit.) hurl, throw s.t. heavy, throw with both hands.
hebat	unusually intensive (excitement, attractiveness, intelligence, violence, etc.).
heboh	1 commotion, uproar. 2 fuss, row, stir. 3 sensational.
hedonisme	hedonism.
