fabricate	kkt. 1 membuat, membangun. 2 memalsukan, mengarang - ngarang.
fabrication	kb. 1 pembuatan, pembikinan. 2 pemalsuan. f. of reports laporan yang dibikin-bikin.
fabulous	ks. 1 hebat, menakjubkan. f. view pemandangan yang hebat. 2 besar. f. salary gaji yang luar biasa tingginya.
facade, facade	kb. 1 bagian muka dari suatu gedung. 2 tedeng aling-aling (terutama)kalau dianggap untuk menyembunyikan sesuatu kesalahan atau kelemahan.
face	kb. 1 muka, rupa, paras. 2 permukaan (of a cliff). 3 wajah. 4 keberanian. -kkt. 1 menghadapai. 2 menghadapkan muka, menghadap. 3 berhadapan (muka) dengan. -kki. menghadap. -facing kb. 1 bis, pinggiran. 2 lapisan (luar).
facecloth	kb.kain penyeka muka.
facedown	kk. to turn s.t. f. menelungkupkan/ meniarapkan sesuatu, sehingga mukanya berpaling kebawah.
facet	kb. 1 segi, sanding. facets of te problem segi-segimasalah itu. 2 permukaan (of a gem).
facetious	ks. secara berkelakar. f. remarks ucapan-ucapan jenaka.
facial	kb. masase muka. -kt. yang berhubungan dengan muka. f. expression ekspresi muka.
facile	ks. lancar. her f. nature tabiat yang lancar, sifatnya yang penurut.
facilitate	kkt. memudahkan.
facility	kb. (j. -ties) 1 fasilitas, kesempatan. 2 kecakapan. f. for languages kecakapan dalam bahasa-bahasa.
facsimile	kb. reproduksi, jiplakan. a reasonable f. sesuatu yang serupa dengan itu.
fact	kb. 1 fakta, kenyataan. 2 kebenaran. fact-finding kb. pencarian fakta.
faction	kb. golongan, kumpulan orang-orang dalam partai politik, gereja dsb.
factor	kb. faktor, unsur. a f. in his defeat faktor dalam kesalahannya.
factory	kb. (j. -ries) paberik.
factual	ks. yang mengandung atau berdasarkan fakta-fakta, yang sesungguhnya.
faculty	kb. (j. -ties) 1 staf pengajar disekolah (tinggi). 2 kemampuan, kecakapan. 3 pancaindera. 4 fakultas.
fad	kb. mode, iseng(-iseng). it's a f. hanya iseng saja.
faddist	kb. pengikut mode.
fade	kkt. memudarkan. -kki. 1 meluntur, menjadi pudar. 2 menghilang. 3 layu. to f. away 1 menjadi kabur, berangsur hilang. 2 mati, wafat. 3 menghilang, berangsur pergi. -fading kb. 1 kehilangan warna. 2 tv, tel.: kehilangan kekuatan suara atau gambar.
fadeproof	ks. tak/tahan luntur.
faeces	= feces.
fag	kb. ujung, akhir. f. end akhir ujung, sisa yang paling jelek. -kki. (fagged) inf.: to f. out meletihkan. i'm fagged out saya letih sekali.
faggot	kb. =fagot.
fagot	kb. berkas kayu api, seikat kayu bakar.
fahrenheit	kb. ukuran suhu atau termometer yang memakai skala fahrenheit.
fail	kb. without f. pasti, tentu. -kkt. 1 gagal/jatuh dalam. 2 meninggalkan, membiarkan. 3 menjatuhkan, tidak meluluskan.(a student). -kki. 1 lalai. 2 lupa. 3 menjadi rusak, gagal. -failing kb. kekurangan, kelemahan.
failure	kb. 1 kegagalan, pengabaian, pelalaian. 2 kerusakan, gangguan.
faint	kb. pingsan. -ks. 1 pusing. 2 redam, redup (of sounds). -kki. (jatuh) pingsan. -fainting ks. sedang/membikin pingsan. -faintly kk. sedikit.
fainthearted	ks. pengecut, penakut, tidak berani.
fair	kb. pekan raya, pasar malam. -ks. 1 kuning langsat, perang (of complexion). 2 terang. 3 adil. 4 cukup, wajar. 5 sedang, lumayan. 6 cantik. -fairly kk. 1 agak baik. 2 hampir.
fairground	kb. tempat, gelanggang pekan raya.
fairness	kb. kejujuran, keadilan, kewajaran. in all f. i must admit... dengan segala kejujuran saya harus mengakui....
fairway	kb. 1 nav.: aluran/jaluran pelayaran. 2 golf.: bagian dari lapangan golf antara tempat pemukulan bola golf pertama di tiap hole dan lapangan hijau.
fairy	kb. (j. -ries) peri. f. tale 1 cerita dongeng. 2 bohong.
fairyland	kb. tempat yang menyenangkan dan menarik.
fait accompli	kb. keadaan yang dihadapi, ketentuan yang harus diterima.
faith	kb. 1 kepercayaan. 2 agama, keyakinan. to act in bad f. berbuat tidak jujur. to keep f. with tetap setia kepada. f. healer ahli pengobatan dengan menggunakan kebatinan.
faithful	kb. the f. j. orang-orang yang beriman. -ks. 1 setia. 2 tepat. -faithfully kk. tepat. to promise f. berjanji tepat.
faithless	ks. 1 tidak setia. 2 rel.: tak percaya kepada agama, tanpa iman. 3 durhaka (of a wife).
fake	kb. 1 penipu. 2 gadungan, sesuatu yang palsu. -ks. palsu. f. bill uang kertas palsu. -kkt. 1 memalsukan. 2 berbuat seakan-akan, berpura-pura.
faker	kb. pemalsu, penipu.
fakir	kb. ahli sihir, seorang wali yang hidup mengemis.
falcon	kb. semacam burung elang yang dipergunakan untuk berburu.
fall	kb. 1 meteor.: musim gugur/rontok. 2 jatuh. 3 jatuhnya. 4 runtuhnya. 5 surut. 6 turunnya. 7 tingginya. -falls j. air terjun. -kki. (fell, fallen) 1 jatuh. 2 turun. 3 gugur. 4 melihat kebawah. fall-off kb. kemerosotan. falling-out kb. pertengkeran, sen
fallacious	ks. salah, keliru. f. statement pernyataan yang menyesatkan.
fallacy	kb. (j. -cies) buah pikiran yang keliru.
fallen	lih fall.
fallible	ks. dapat berbuat keliru/salah.
fallopian	ks. f. tubes saluran/pembuluh telur ke kandungan rahim.
fallout	kb. jatuhan (radioaktif). f. shelter lubang/ruang perlindungan dibawah tanah terhadap radioaktif.
fallow	ks. kosong, belum ditanami. to lie f. tandus.
false	ks. 1 palsu. 2 bohong. 3 tidak benar. 4 sumbang. f. colors 1 bendera palsu. 2 pembawaan diri yang dibikin-bikin. f. pretenses alasan-alasan palsu.
falsehood	kb. kebohongan, dusta.
falsetto	kb., ks. suara buatan bernada tinggi, suara tinggi yang tidak wajar.
falsies	kb., j. inf.: sumpalan, isi bh supaya buah dada kelihatan lebih montok
falsify	kkt. (falsified) memalsukan.
falsity	kb. (j. -ties) kepalsuan.
falter	kki. 1 bimbang. 2 terputus-putus. 3 berjalan bergoyang atau terhuyung, tertatih. -faltering ks. yang bergoyang, terhuyung. -falteringly kk. dengan terputus-putus, dengan gagap.
fame	kb. kemasyhuran, popularitas. to win f. menjadi tenar/terkenal. of ill f. yang mempunyai nama buruk.
famed	ks. terkenal, termasyhur, ternama.
familial	ks. yang berhubungan dengan keluarga. f. relationship hubungan keluarga.
familiar	ks. 1 terkenal, dikenal. 2 akrab. 3 yang sudah lazim.
familiarity	kb. (j. -ties) 1 keakraban, kebiasaan. f. breeds contempt keakraban menimbulkan benih kebencian / rasa kurang hormat. 2 hal mengetahui.
