jentik	jentik-jentik mosquito larva.
jolor	men-jolor 1 creep, crawl 9of snakes, etc.) 2 inch forward on o.'s belly.
jombang	(m) handsome, pretty, beautiful.
jompak	rear, prance (of horse, etc.).
jomplang	see jumplang.
jompo	(java) old, decrepit, infirm. rumah 0rang-jompo old folks' home.
jompong	pe-jompong-an rallying place.
jon-towel	(jakarta) young fellow that puts on airs.
jong	see jung.
jongang	see jongkang 2.
jonget	curved upward at the tip or side.
jonggol	representative, responsible person. jonggol-an responsibility.
jonghe	k.o. weed.
jongkang	1. k.o. boat. 2. protruding 9of teeth, upper lip, etc.). jongkang-jangking sticking out right and left. 3.
jongkar-jangkir	sticking out all over (esp. of teeth).
jongkat	see jungkat.
jongko	stall (in market).
jongkok	ber-, men- jongkok squat. ber-jongkok-jongkok be obsequious. ter-jongkok in a squatting position.
jongkong	k.o. dugout canoe.
jongos	(now considered derog.) houseboy, waiter.
jonjot	1 tuft (of hair). 2 flake. men-jonjot extract, pluck.
jontrot	men-jontrot poke, thrust s.t. by poking it.
jor-jor	(java) push, elbow aside. jor-jor-an vie with o. another, compete. jor-jor drumband marching band competition.
joran	fishing rod. joran ampai divining rod.
joreng	small piece (of cloth), small clod (of earth). men-joreng slice thin.
jori	team of horses.
jornalis	see jurnalis.
jorok	1. 1) slovenly, slipshod. 2) dirty, untidy. 2. men-jorok stick out, project, protrude.
jorong	1. ellipse, elliptical, oval-shaped.2 metal v-shaped holder for betel leaf. 3. a corner.
jotakan	(java) be on unfriendly terms.
jotos	fist.
jotosan	boxing, fisticuffs.
jrang-jreng	sound of plucking a guitar, banjo, etc.
jrangkung	see jerangkong.
jrawut	rumpled, disheveled, messed up.
jreng-jreng	sound of coins clinking, tinkling sound (of guitar, etc.).
jring-jring	sound of tinkling (of guitar, mandolin).
jrs.	[jurusan] 1 direction. 2 academic field.
jua	1 nothing or nobody but, only. 2 even if it is, no matter. 3 nevertheless. 4 also.
juadah	1 delicacy made of rice. 2 cake or cookies. 3 provicions, foodstuffs.
juak	1. ber-juak compete. men-juak incite, instigate 9a fight). pen-juak instigator. 2. men-juak be projecting upward. men-juak-kan hoist a sail, project s.t. upward.
jual	sell, sale.
juang	struggle. medan-juang battlefield. ber-juang fight, struggle. fighter, warrior, freedom fighter. sharing in the same struggle.
juang-juang	k.o. shrub.
juar	see johar 1.
juara	1 champion. 2 referee in a cockfight.
jubah	long flowing robe 9including religious habits, arabic garments, etc.). ber-juang wear such a robe.
jubal,jubel	ber-(2), ber-an, -an crowd around. men-jubal-kan cram, jam.
jubin	floor tile.
jubir	(jurubicara) spokesperson.
jubit	see cubit.
jublek	amazed, astronished.
jubur	(anat.) anus.
judas,judes	1 cruel, vicious (esp. in speech). 2 hars and rude, unmannered.
judi	gambling. pe(n)-judi gambler.
judo	(sport) judo. pe-judi expert in judo.
judoka	(sport) expert in judo.
judokang	(sport) judo hall.
judul	1 title (of book, etc.). 2 caption (under cartoon, etc.) 3 credits (in movie or on tv). 4 heading.
juga	1 also, too. 2 even if. 3 no matter what, how, who, etc. 4 rather. 5 anyway.
juhi	(china) dried squid.
juih	curled (of lips).
juita	sweet, lovely, beautiful.
juja	(zod.) gemini.
jujai	(lit.) ceaseless, incessant.
jujat	(lit.) slander, insult, (verbal) abuse.
juju	1. men-juju feed (a baby) pre-chewed food. 2. see tuju.
jujuh	ber-, men-jujuh be incessant, unceasing.
jujur	1. honest, on the level. ke-jujur-an honesty, integrity. 2. men-jujur-i present a bride-price to.
jujut	men-jujut pull, tug at (rope, etc.).
julai	slender end of stem of a creeping plant, runner of a creeping plant. men-julai-kan dangle s.t.
julak	see jolak.
