penterjemahan	translating.
penteroran	terrorizing.
pentil	1. teat. 2. mem-pentil pinch s.t. /pe`ntil/ valve.
penting	1. important, significant.
pentokohan	characterization.
pentol	/pentul/ knob.
pentolan	1 prominent. 2 leader of a gang. 3 leader. 4 bulb.
pentorpedoan	torpedoing.
pentraktoran	bulldozing.
pentranskripsian	the process of transcribing s.t.
pentransmigrasian	process of relocating s.o.
pentrasean	tracing.
pentunangan	act of becoming engaged, betrothal.
pentung	club, cudgel.
pentunu	o. who roasts.
pentunuan	roasting.
penturbaan	going down to the people.
penuaan	aging.
penuai	1 rice harvest knife. 2 o. who reaps or gathers in a harvest.
penuaian	harvesting of rice.
penuangan	pouring, molding, casting.
penubrukan	colliding, crashing, striking.
penuduh	1 (leg.) prosecutor. 2 accuser, plaintiff.
penuduhan	accusation.
penudung	cover.
penudungan	covering.
penugasan	giving an assignment.
penuh	1 full (of), loaded. 2 complete.
penukaran	1 alteration, process of making a change. 2 exchange.
penukul	hammerer.
penulangan	erecting a framework.
penular	infector, infecting agent.
penularan	spreading.
penulis	1 writer (of letter, etc.). 2 secretary (of association).
penulisan	process of writing.
penumbangan	causing s.t. to crash down.
penumbuh	s.t. that stimulates growth.
penumbuhan	1 the act of growing. 2 emergence.
penumbuk	crusher, pounder.
penumbukan	1 pounding, crushing. 2 blow, stroke. 3 act of colliding.
penumpahan	1 act of spilling or shedding. 2 concentration.
penumpang	1 passenger. 2 boarder, hotel guest.
penumpangan	1 act of being over s.t. 2 place to stay.
penumpas	destroyer.
penumpasan	annihilation, extermination.
penumpu	support.
penumpukan	accumulation, hoarding.
penunaian	1 (cash) payment. 2 settlement. 3 fulfillment.
penundaan	postponement, deferment, adjournment.
penundukan	1 submission, subjection. 2 subjugation.
penunggak	o. who is arrears in payments.
penunggalan	concentration.
penunggang	rider, passenger. pengunggang-kuda horseman.
penunggu	1 watchman, guard. 2 attendant. 3 tutelary spirit.
penungguan	act of waiting.
penunjang	s.t. supporting.
penunjangan	the act of supporting.
penunjuk	1 s.t. which indicates. 2 o. who indicates.
penunjukan	1 indication. 2 reference, pointing to s.t. 3 appointment, assignment.
penuntun	1 guide. 2 manual, guide.
penuntunan	1 leading with a line, etc. 2 providing guidance.
penuntut	1 o. who demand s.t., petitioner. 2 (leg.) claimant, prosecutor. 3 o. who strives after.
penuntutan	1 demanding. 2 pursuit, study. 3 (leg.) prosecution.
penurunan	1 slope, descent. 2 discharge, unloading. 3 lowering, taking down. 4 derivation, deriving. 5 reduction, decline (of cost, prices, etc.).
penurut	1 s.o. obedient and docile. 2 a follower.
penusuk	s.t. to perforate or stab with.
penusukan	1 stabbing, jabbing. 2 perforation.
penutup	1 cover, lid, casing. 2 closing.
penutupan	1 covering. 2 closing, shutting, occlusion, shut down.
penutur	speaker, narrator, pronouncer.
penuturan	1. 1) talk, speech. 2) discussion, narrative. 3) announcement, information. 2. (lit.) descendant.
peny-	see also entries with c-, s-, or ny-.
penyabet	(purse) snatcher.
penyablon	1 copier. 2 plagiarist.
penyair	poet.
penyajian	presentation.
penyakit	1 disease, illness. 2 trouble. 3 bad habit.
penyalin	1 copyist. 2 translator.
penyalinan	translating, copying.
penyamarataan	treating the same, generalization, leveling.
penyambut	s.o. that welcomes.
penyambutan	reception, welcoming.
penyampai	o. who conveys.
penyampaian	delivery.
penyamun	robber.
penyangkulan	hoeing.
penyanyi	singer.
penyayang	1 charitable, merciful lord. 2 lover, amateur, devotee.
penyebar	disseminator.
penyebaran	distributing, spreading, disseminating.
penyebut	1 o. who calls, mentions. 2 (math.) denominator.
penyebutan	addressing, mentioning.
penyedap	s.t. used as flavoring.
penyederhanaan	simplification.
penyediaan	1 act of preparing. 2 equipping, supplying.
penyedot	instrument to absorb.
